,EXEL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.84,471.78,Valuation,0.037814235448726106
Price/Sales (TTM),3.34,45.03,Valuation,0.07417277370641794
Price/Book (MRQ),2.19,12.61,Valuation,0.17367168913560665
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.9665,0.5874,Profitability,1.6453864487572352
Operating Profit Margin (TTM),0.22350000000000003,-4.7459,Profitability,-0.04709328051581366
Net Profit Margin (TTM),0.18780000000000002,-4.5467,Profitability,-0.04130468251699035
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.0354,-0.0014000000000000002,Gowth rates,-25.28571428571428
EPS Growth (TTM),0.8613,0.027200000000000002,Gowth rates,31.665441176470583
Revenue Growth (MRQ),-0.0183,1.3963999999999999,Gowth rates,-0.013105127470638788
Revenue Growth (TTM),0.3066,0.9747,Gowth rates,0.31455832563865804
Return On Equity (TTM),0.1336,0.1967,Effectiveness,0.6792069140823589
Return On Assets (TTM),0.1137,0.0016,Effectiveness,71.0625
Return On Investment (TTM),0.1272,0.0219,Effectiveness,5.808219178082192
Revenue Per Employee (TTM),1717280.0,1476201.0,Effectiveness,1.1633104163999346
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),6.01,2.06,Financial strength,2.9174757281553396
Interest Coverage (MRQ),,2.69,Financial strength,
