,EXEL
% Above Low,0.1392
% Held by Institutions,0.8634000000000001
52-Wk Range,['14.87 - 23.40']
Annual Dividend $,
Annual Dividend %,
Ask,17.17
Ask Size,1000.0
B/A Ratio,2.0
B/A Size,2000x1000
Beta,0.7
Bid,16.84
Bid Size,2000.0
Closing Price,16.94
Day Change $,0.08
Day Change %,0.004699999999999999
Day High,16.96
Day Low,16.78
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.95
Ex-dividend Date,No dividend
Historical Volatility,0.38
Last (size),57.0
Last (time),12:59p ET 11/25/22
Market Cap,5.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.84
Prev Close,16.86
Short Interest,0.0329
Today's Open,16.8
Volume,485040.0
Volume 10-day Avg,1594647.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.46341463414634143
Growth 2yr High Est,1.3333333333333335
Growth 2yr Consensus Est,0.8983739837398375
Growth 5yr Low Est,0.46341463414634143
Growth 5yr High Est,1.3333333333333335
Growth 5yr Consensus Est,0.8983739837398375
Growth 5yr Actual/Est,0.27715336134453783
Growth 3yr Historic,0.10007002801120451
Price/Earnings (TTM),17.84454
Price/Sales (TTM),3.33531
Price/Book (MRQ),2.19308
Price/Cash Flow (TTM),16.83979
5yr Low,13.42
5yr High,32.2
5yr Avg Return,-0.05324999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.496083
Dividend Growth 5yr,
Short Int Current Month,10365068.0
Short Int Prev Month,9495959.0
Short Int Pct of Float,0.0328537
Days to Cover,4.5737
Float,315.4591
Shares Outstanding,322.5614
Institutions Holding Shares,530.0
FCF Growth 5yr,0.06285260095279728
"Price/Earnings (TTM, GAAP)",17.84
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9665
Operating Profit Margin (TTM),0.22350000000000003
Net Profit Margin (TTM),0.18780000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0354
EPS Growth (TTM),0.8613
Revenue Growth (MRQ),-0.0183
Revenue Growth (TTM),0.3066
Return On Equity (TTM),0.1336
Return On Assets (TTM),0.1137
Return On Investment (TTM),0.1272
Revenue Per Employee (TTM),1717280.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),6.01
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-09-14 00:00:00
researchTeam since,2022-02-18 00:00:00
ford since,2022-02-18 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
