,FLT
% Above Low,0.1855
% Held by Institutions,0.9198999999999999
52-Wk Range,['161.69 - 265.30']
Annual Dividend $,
Annual Dividend %,
Ask,238.02
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,171.0
Bid Size,100.0
Closing Price,191.68
Day Change $,1.85
Day Change %,0.0097
Day High,193.63
Day Low,189.43
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",12.15
Ex-dividend Date,No dividend
Historical Volatility,0.35100000000000003
Last (size),1800.0
Last (time),5:00p ET 11/25/22
Market Cap,14.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",15.77
Prev Close,189.83
Short Interest,0.0147
Today's Open,190.32
Volume,228237.0
Volume 10-day Avg,539367.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.23524844720496896
Growth 1yr High Est,0.2243346007604563
Growth 1yr Consensus Est,0.22979152398271263
Growth 2yr Low Est,0.1405657697998447
Growth 2yr High Est,0.1867014618709113
Growth 2yr Consensus Est,0.163633615835378
Growth 5yr Low Est,0.09994830635186305
Growth 5yr High Est,0.12275615084225736
Growth 5yr Consensus Est,0.1113522285970602
Growth 5yr Actual/Est,0.10492581704812043
Growth 3yr Historic,0.03294771516262579
Price/Earnings (TTM),15.76989
Price/Sales (TTM),4.22529
Price/Book (MRQ),6.34563
Price/Cash Flow (TTM),11.20626
5yr Low,161.69
5yr High,329.85
5yr Avg Return,0.037416666666666674
EPS Growth 5yr,0.1601726
Revenue Growth 5yr,0.09120990000000001
Dividend Growth 5yr,
Short Int Current Month,1048596.0
Short Int Prev Month,1160774.0
Short Int Pct of Float,0.014673700000000001
Days to Cover,1.38187
Float,71.53917
Shares Outstanding,73.75236
Institutions Holding Shares,762.0
FCF Growth 5yr,-5.398990686732621
"Price/Earnings (TTM, GAAP)",15.77
"PEG Ratio (TTM, GAAP)",1.05
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.4189
Net Profit Margin (TTM),0.2851
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.017
EPS Growth (TTM),0.2546
Revenue Growth (MRQ),0.0368
Revenue Growth (TTM),0.2631
Return On Equity (TTM),0.3532
Return On Assets (TTM),0.0683
Return On Investment (TTM),0.122
Revenue Per Employee (TTM),344925.0
Total Debt/Total Capital (MRQ),0.7643000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0018
Quick Ratio (MRQ),
Interest Coverage (MRQ),20.18
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-05-27 00:00:00
researchTeam since,2022-05-27 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-08-13 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
