,ALE
Price/Earnings (TTM),18.24193
Price/Sales (TTM),2.47804
Price/Book (MRQ),1.42712
Price/Cash Flow (TTM),9.77977
5yr Low,47.77
5yr High,88.6
5yr Avg Return,-0.021066666666666664
EPS Growth 5yr,0.0053913
Revenue Growth 5yr,0.011596200000000001
Dividend Growth 5yr,0.0391242
Short Int Current Month,935331.0
Short Int Prev Month,1208498.0
Short Int Pct of Float,0.0164272
Days to Cover,2.3241
Float,56.94442
Shares Outstanding,57.16188
Institutions Holding Shares,377.0
% Held by Institutions,0.774743
FCF Growth 5yr,-0.13622214198373372
