,ALE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",18.24,21.45,Valuation,0.8503496503496503
Price/Sales (TTM),2.48,3.84,Valuation,0.6458333333333334
Price/Book (MRQ),1.43,2.52,Valuation,0.5674603174603174
"PEG Ratio (TTM, GAAP)",,0.23,Valuation,
Gross Profit Margin (TTM),,0.25170000000000003,Profitability,
Operating Profit Margin (TTM),0.0975,0.1625,Profitability,0.6
Net Profit Margin (TTM),0.09240000000000001,0.1169,Profitability,0.7904191616766467
Annual Dividend Yield,0.0388,0.0296,Dividend,1.3108108108108107
Dividend Change %,0.0202,0.0463,Dividend,0.4362850971922246
"Dividend Growth Rate, 3 Years",0.04,0.0688,Dividend,0.5813953488372093
EPS Growth (MRQ),-0.121,0.6623,Gowth rates,-0.1826966631435905
EPS Growth (TTM),0.2421,0.9514,Gowth rates,0.25446710111414755
Revenue Growth (MRQ),0.04070000000000001,0.24920000000000003,Gowth rates,0.16332263242375603
Revenue Growth (TTM),0.1516,0.16010000000000002,Gowth rates,0.9469081823860087
Return On Equity (TTM),0.07940000000000001,0.09480000000000001,Effectiveness,0.8375527426160339
Return On Assets (TTM),0.0216,0.0229,Effectiveness,0.943231441048035
Return On Investment (TTM),0.0268,0.0269,Effectiveness,0.9962825278810409
Revenue Per Employee (TTM),1152164.0,1731151.0,Effectiveness,0.6655479504676368
Total Debt/Total Capital (MRQ),0.369,0.5767,Financial strength,0.6398474076642968
Change in Debt/Total Capital Quarter over Quarter,-0.0011,0.0003,Financial strength,-3.6666666666666674
Quick Ratio (MRQ),0.35,0.62,Financial strength,0.564516129032258
Interest Coverage (MRQ),2.0,6.31,Financial strength,0.3169572107765452
