,ALE
% Below High,0.0245
% Held by Institutions,0.7746999999999999
52-Wk Range,['47.77 - 68.61']
Annual Dividend $,2.6
Annual Dividend %,0.0388
Ask,70.0
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,0.7
Bid,61.64
Bid Size,100.0
Closing Price,66.93
Day Change $,1.06
Day Change %,0.0161
Day High,67.36
Day Low,66.36
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",3.67
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.262
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,3.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.24
Prev Close,65.87
Short Interest,0.016399999999999998
Today's Open,66.36
Volume,144212.0
Volume 10-day Avg,413338.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.19999999999999996
Growth 1yr High Est,0.19749216300940442
Growth 1yr Consensus Est,0.1987460815047022
Growth 2yr Low Est,0.11612903225806448
Growth 2yr High Est,0.12885079354658702
Growth 2yr Consensus Est,0.12248991290232575
Growth 5yr Low Est,0.04301340258394282
Growth 5yr High Est,0.03707945839794338
Growth 5yr Consensus Est,0.0400464304909431
Growth 5yr Actual/Est,0.027986334747427066
Growth 3yr Historic,-0.025668315802602593
Price/Earnings (TTM),18.24193
Price/Sales (TTM),2.47804
Price/Book (MRQ),1.42712
Price/Cash Flow (TTM),9.77977
5yr Low,47.77
5yr High,88.6
5yr Avg Return,-0.021066666666666664
EPS Growth 5yr,0.0053913
Revenue Growth 5yr,0.011596200000000001
Dividend Growth 5yr,0.0391242
Short Int Current Month,935331.0
Short Int Prev Month,1208498.0
Short Int Pct of Float,0.0164272
Days to Cover,2.3241
Float,56.94442
Shares Outstanding,57.16188
Institutions Holding Shares,377.0
FCF Growth 5yr,-0.13622214198373372
"Price/Earnings (TTM, GAAP)",18.24
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.0975
Net Profit Margin (TTM),0.09240000000000001
Annual Dividend Yield,0.0388
Dividend Change %,0.0202
"Dividend Growth Rate, 3 Years",0.04
EPS Growth (MRQ),-0.121
EPS Growth (TTM),0.2421
Revenue Growth (MRQ),0.04070000000000001
Revenue Growth (TTM),0.1516
Return On Equity (TTM),0.07940000000000001
Return On Assets (TTM),0.0216
Return On Investment (TTM),0.0268
Revenue Per Employee (TTM),1152164.0
Total Debt/Total Capital (MRQ),0.369
Change in Debt/Total Capital Quarter over Quarter,-0.0011
Quick Ratio (MRQ),0.35
Interest Coverage (MRQ),2.0
newConstructs,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-10-27 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-10-27 00:00:00
