,SLAB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",72.57,20.56,Valuation,3.529669260700389
Price/Sales (TTM),4.81,7.41,Valuation,0.6491228070175438
Price/Book (MRQ),3.05,13.13,Valuation,0.23229246001523227
"PEG Ratio (TTM, GAAP)",,0.9,Valuation,
Gross Profit Margin (TTM),0.6285000000000001,0.5489,Profitability,1.1450173073419567
Operating Profit Margin (TTM),0.1003,0.25739999999999996,Profitability,0.3896658896658897
Net Profit Margin (TTM),0.0562,0.2224,Profitability,0.25269784172661874
Annual Dividend Yield,,0.014499999999999999,Dividend,
Dividend Change %,,0.0676,Dividend,
"Dividend Growth Rate, 3 Years",,0.091,Dividend,
EPS Growth (MRQ),0.019,1.5356,Gowth rates,0.01237301380567856
EPS Growth (TTM),2.0094,0.2274,Gowth rates,8.83641160949868
Revenue Growth (MRQ),0.0253,0.1335,Gowth rates,0.1895131086142322
Revenue Growth (TTM),0.48240000000000005,0.24170000000000003,Gowth rates,1.9958626396359123
Return On Equity (TTM),0.034100000000000005,0.36920000000000003,Effectiveness,0.09236186348862406
Return On Assets (TTM),0.0184,0.16010000000000002,Effectiveness,0.11492816989381635
Return On Investment (TTM),0.0206,0.1925,Effectiveness,0.10701298701298702
Revenue Per Employee (TTM),585160.0,898550.0,Effectiveness,0.651226976795949
Total Debt/Total Capital (MRQ),0.2543,0.3576,Financial strength,0.7111297539149889
Change in Debt/Total Capital Quarter over Quarter,0.0085,0.0,Financial strength,inf
Quick Ratio (MRQ),7.47,2.24,Financial strength,3.334821428571428
Interest Coverage (MRQ),,15.8,Financial strength,
