,SLAB
% Above Low,0.2608
% Held by Institutions,1.0515
52-Wk Range,['109.44 - 211.98']
Annual Dividend $,
Annual Dividend %,
Ask,138.12
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.1
Bid,137.81
Bid Size,200.0
Day Change $,-2.93
Day Change %,-0.0208
Day High,140.62
Day Low,137.95
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.94
Ex-dividend Date,No dividend
Historical Volatility,0.47500000000000003
Last (size),100.0
Last (time),2:30p ET 11/28/22
Market Cap,4.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",72.57
Prev Close,140.92
Price,137.99
Short Interest,0.0793
Today's Open,138.41
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.5155709342560553
Growth 1yr High Est,0.5153583617747441
Growth 1yr Consensus Est,0.5154646480153997
Growth 2yr Low Est,0.06600464521021943
Growth 2yr High Est,0.2925890907972819
Growth 2yr Consensus Est,0.17929686800375066
Growth 5yr Low Est,0.003950334837525632
Growth 5yr High Est,0.1196177161303483
Growth 5yr Consensus Est,0.061784025483936966
Growth 5yr Actual/Est,0.12854260667294465
Growth 3yr Historic,-0.08524122490249891
Price/Earnings (TTM),72.57109
Price/Sales (TTM),4.80821
Price/Book (MRQ),3.04519
Price/Cash Flow (TTM),41.01892
5yr Low,65.09
5yr High,211.98
5yr Avg Return,0.11635
EPS Growth 5yr,
Revenue Growth 5yr,0.006573900000000001
Dividend Growth 5yr,
Short Int Current Month,2576901.0
Short Int Prev Month,2647170.0
Short Int Pct of Float,0.0792985
Days to Cover,5.12267
Float,32.24672
Shares Outstanding,33.2829
Institutions Holding Shares,421.0
FCF Growth 5yr,-0.6398973119903352
"Price/Earnings (TTM, GAAP)",72.57
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6285000000000001
Operating Profit Margin (TTM),0.1003
Net Profit Margin (TTM),0.0562
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.019
EPS Growth (TTM),2.0094
Revenue Growth (MRQ),0.0253
Revenue Growth (TTM),0.48240000000000005
Return On Equity (TTM),0.034100000000000005
Return On Assets (TTM),0.0184
Return On Investment (TTM),0.0206
Revenue Per Employee (TTM),585160.0
Total Debt/Total Capital (MRQ),0.2543
Change in Debt/Total Capital Quarter over Quarter,0.0085
Quick Ratio (MRQ),7.47
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-06-14 00:00:00
theStreet since,2020-02-19 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-08-17 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
