,THR
% Below High,0.022799999999999997
% Held by Institutions,0.963
52-Wk Range,['13.26 - 20.64']
Annual Dividend $,
Annual Dividend %,
Ask,22.0
Ask Size,300.0
B/A Ratio,5.0
B/A Size,1500x300
Beta,1.3
Bid,19.75
Bid Size,1500.0
Change Since Close,0.00| |(0.00%)
Closing Price,20.17
Day Change $,-0.35
Day Change %,-0.0171
Day High,20.63
Day Low,19.96
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.11
Ex-dividend Date,No dividend
Historical Volatility,0.311
Last (size),2400.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,675.6M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.42
Prev Close,20.52
Short Interest,0.0076
Today's Open,20.5
Volume,184974.0
Volume 10-day Avg,161792.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,0.6666666666666667
Growth 1yr High Est,0.6666666666666667
Growth 1yr Consensus Est,0.6666666666666667
Growth 2yr Low Est,0.3925925925925926
Growth 2yr High Est,0.3925925925925926
Growth 2yr Consensus Est,0.3925925925925926
Growth 5yr Low Est,0.3925925925925926
Growth 5yr High Est,0.3925925925925926
Growth 5yr Consensus Est,0.3925925925925926
Growth 5yr Actual/Est,0.40988358663411817
Growth 3yr Historic,0.2236274509803921
Price/Earnings (TTM),18.42391
Price/Sales (TTM),1.72166
Price/Book (MRQ),1.73612
Price/Cash Flow (TTM),12.02066
5yr Low,9.98
5yr High,27.95
5yr Avg Return,-0.013533333333333328
EPS Growth 5yr,0.059683799999999995
Revenue Growth 5yr,0.0613213
Dividend Growth 5yr,
Short Int Current Month,251344.0
Short Int Prev Month,393754.0
Short Int Pct of Float,0.007636899999999999
Days to Cover,1.60291
Float,32.91139
Shares Outstanding,33.49323
Institutions Holding Shares,176.0
FCF Growth 5yr,0.159876373327251
"Price/Earnings (TTM, GAAP)",18.42
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4115
Operating Profit Margin (TTM),0.135
Net Profit Margin (TTM),0.09390000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.6652
EPS Growth (TTM),6.0891
Revenue Growth (MRQ),0.0536
Revenue Growth (TTM),0.30710000000000004
Return On Equity (TTM),0.09699999999999999
Return On Assets (TTM),0.0589
Return On Investment (TTM),0.06910000000000001
Revenue Per Employee (TTM),325343.0
Total Debt/Total Capital (MRQ),0.26539999999999997
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),1.35
Interest Coverage (MRQ),10.87
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-11-17 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
marketEdge opinion since,
