,KURA
% Above Low,0.4275
% Held by Institutions,1.0643
52-Wk Range,['10.41 - 19.93']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,
Bid Size,
Closing Price,14.86
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.03
Ex-dividend Date,No dividend
Historical Volatility,0.667
Last (size),30.0
Last (time),1:00p ET 11/25/22
Market Cap,994.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,14.86
Short Interest,0.10800000000000001
Today's Open,
Volume,156375.0
Volume 10-day Avg,909053.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.13207547169811318
Growth 1yr High Est,0.045454545454545414
Growth 1yr Consensus Est,0.0887650085763293
Growth 2yr Low Est,0.29103773584905657
Growth 2yr High Est,0.01789635485287655
Growth 2yr Consensus Est,0.15446704535096656
Growth 5yr Low Est,0.21927243515635642
Growth 5yr High Est,0.08411077905245451
Growth 5yr Consensus Est,0.15169160710440546
Growth 5yr Actual/Est,0.12901000017844827
Growth 3yr Historic,0.0712214428465065
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),2.36891
Price/Cash Flow (TTM),
5yr Low,6.35
5yr High,43.0
5yr Avg Return,0.10775
Short Int Current Month,6982213.0
Short Int Prev Month,6287730.0
Short Int Pct of Float,0.108046
Days to Cover,4.65349
Float,64.56382
Shares Outstanding,68.26393
Institutions Holding Shares,209.0
FCF Growth 5yr,0.1976298663913629
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0178
EPS Growth (TTM),-0.058499999999999996
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.2842
Return On Assets (TTM),-0.2685
Return On Investment (TTM),-0.2815
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford since,2022-09-02 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
researchTeam since,
newConstructs since,
