,MHK
% Above Low,0.1827
% Held by Institutions,0.7748999999999999
52-Wk Range,['87.02 - 192.00']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.3
Bid,90.0
Bid Size,
Closing Price,102.91
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.57
Ex-dividend Date,No dividend
Historical Volatility,0.46
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,6.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",40.09
Prev Close,102.91
Short Interest,0.0319
Today's Open,
Volume,110582.0
Volume 10-day Avg,512556.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.11904761904761907
Growth 1yr High Est,-0.11784511784511786
Growth 1yr Consensus Est,-0.11844636844636847
Growth 2yr Low Est,-0.24485199485199483
Growth 2yr High Est,-0.08754851312103223
Growth 2yr Consensus Est,-0.16620025398651353
Growth 5yr Low Est,-0.0008385353430854225
Growth 5yr High Est,0.07747574343948385
Growth 5yr Consensus Est,0.038318604048199215
Growth 5yr Actual/Est,0.05912560961980223
Growth 3yr Historic,0.14059531974029138
Price/Earnings (TTM),40.08616
Price/Sales (TTM),0.55189
Price/Book (MRQ),0.83623
Price/Cash Flow (TTM),8.58954
5yr Low,56.62
5yr High,286.85
5yr Avg Return,-0.08633333333333333
EPS Growth 5yr,0.0367472
Revenue Growth 5yr,0.045672300000000006
Dividend Growth 5yr,
Short Int Current Month,1674224.0
Short Int Prev Month,2224864.0
Short Int Pct of Float,0.0319285
Days to Cover,2.62023
Float,52.50156
Shares Outstanding,63.53403
Institutions Holding Shares,636.0
FCF Growth 5yr,-0.6791340179965771
"Price/Earnings (TTM, GAAP)",40.09
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2668
Operating Profit Margin (TTM),0.0368
Net Profit Margin (TTM),0.015300000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-2.912
EPS Growth (TTM),-0.8353
Revenue Growth (MRQ),-0.0747
Revenue Growth (TTM),0.06910000000000001
Return On Equity (TTM),0.021800000000000003
Return On Assets (TTM),0.0128
Return On Investment (TTM),0.0169
Revenue Per Employee (TTM),275515.0
Total Debt/Total Capital (MRQ),0.24670000000000003
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001
Quick Ratio (MRQ),0.76
Interest Coverage (MRQ),11.33
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-28 00:00:00
theStreet since,2022-08-29 00:00:00
cfra since,2022-10-28 00:00:00
ford since,2022-06-24 00:00:00
marketEdge opinion since,
