,BLDE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,-34.24,Valuation,
Price/Sales (TTM),,0.63,Valuation,
Price/Book (MRQ),1.22,2.71,Valuation,0.45018450184501846
"PEG Ratio (TTM, GAAP)",,-0.02,Valuation,
Gross Profit Margin (TTM),,0.5245000000000001,Profitability,
Operating Profit Margin (TTM),,0.029500000000000002,Profitability,
Net Profit Margin (TTM),,0.003,Profitability,
Annual Dividend Yield,,,Dividend,
Dividend Change %,,-0.2447,Dividend,
"Dividend Growth Rate, 3 Years",,,Dividend,
EPS Growth (MRQ),,0.541,Gowth rates,
EPS Growth (TTM),,16.999000000000002,Gowth rates,
Revenue Growth (MRQ),,0.46299999999999997,Gowth rates,
Revenue Growth (TTM),,0.8456999999999999,Gowth rates,
Return On Equity (TTM),,-0.010900000000000002,Effectiveness,
Return On Assets (TTM),,-0.002,Effectiveness,
Return On Investment (TTM),,-0.0021,Effectiveness,
Revenue Per Employee (TTM),,453436.0,Effectiveness,
Total Debt/Total Capital (MRQ),0.0,0.6829000000000001,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,-0.0014000000000000002,Financial strength,
Quick Ratio (MRQ),,0.87,Financial strength,
Interest Coverage (MRQ),,23.47,Financial strength,
