,BLDE
% Above Low,0.39799999999999996
% Held by Institutions,0.7243999999999999
52-Wk Range,['3.46 - 9.90']
Annual Dividend $,
Annual Dividend %,
Ask,5.1
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,
Bid,4.77
Bid Size,1000.0
Closing Price,4.83
Day Change $,0.13
Day Change %,0.0277
Day High,4.88
Day Low,4.66
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.6779999999999999
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,346.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.7
Short Interest,0.0692
Today's Open,4.67
Volume,127094.0
Volume 10-day Avg,496549.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-10 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.7567567567567568
Growth 2yr High Est,0.32258064516129026
Growth 2yr Consensus Est,0.5396687009590235
Growth 5yr Low Est,0.7567567567567568
Growth 5yr High Est,0.32258064516129026
Growth 5yr Consensus Est,0.5396687009590235
Growth 5yr Actual/Est,0.00882352941176473
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),1.2157
Price/Cash Flow (TTM),
5yr Low,3.46
5yr High,19.88
5yr Avg Return,-0.134675
Short Int Current Month,3369640.0
Short Int Prev Month,3230914.0
Short Int Pct of Float,0.0691929
Days to Cover,7.1913
Float,57.37206
Shares Outstanding,71.65328
Institutions Holding Shares,135.0
FCF Growth 5yr,0.12125064908213473
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),
EPS Growth (TTM),
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),
Return On Assets (TTM),
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
