,NTRS
% Above Low,0.2391
% Held by Institutions,0.8288
52-Wk Range,['76.15 - 135.15']
Annual Dividend $,3.0
Annual Dividend %,0.0318
Ask,98.11
Ask Size,100.0
Ask close,100.25
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,93.07
Bid Size,100.0
Bid close,88.24
Change Since Close,-2.82| |(-2.99%)
Closing Price,94.36
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-01 00:00:00
"EPS (TTM, GAAP)",7.34
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.349
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,91.54
Market Cap,19.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.86
Prev Close,94.36
Short Interest,0.0143
Today's Open,
Volume,1.0
Volume 10-day Avg,780209.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.012875536480686622
Growth 1yr High Est,0.036262203626220346
Growth 1yr Consensus Est,0.011693333572766862
Growth 2yr Low Est,-0.07672762331280714
Growth 2yr High Est,0.08677174784271979
Growth 2yr Consensus Est,0.0050220622649563285
Growth 5yr Low Est,-0.016497060521359713
Growth 5yr High Est,0.0625185269825844
Growth 5yr Consensus Est,0.02301073323061234
Growth 5yr Actual/Est,0.02936113716956898
Growth 3yr Historic,0.022742564844950658
Price/Earnings (TTM),12.85651
Price/Sales (TTM),2.76143
Price/Book (MRQ),1.93841
Price/Cash Flow (TTM),9.44079
5yr Low,60.67
5yr High,135.15
5yr Avg Return,0.009783333333333335
EPS Growth 5yr,0.1054709
Revenue Growth 5yr,0.0485684
Dividend Growth 5yr,0.1390979
Short Int Current Month,2954578.0
Short Int Prev Month,3595564.0
Short Int Pct of Float,0.0142753
Days to Cover,3.39724
Float,207.2955
Shares Outstanding,208.4157
Institutions Holding Shares,950.0
FCF Growth 5yr,-0.7845375231245569
"Price/Earnings (TTM, GAAP)",12.86
"PEG Ratio (TTM, GAAP)",2.88
Gross Profit Margin (TTM),0.9702
Operating Profit Margin (TTM),0.2928
Net Profit Margin (TTM),0.22280000000000003
Annual Dividend Yield,0.0318
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.1565
EPS Growth (MRQ),-0.0333
EPS Growth (TTM),0.15630000000000002
Revenue Growth (MRQ),0.0926
Revenue Growth (TTM),0.13460000000000003
Return On Equity (TTM),0.1448
Return On Assets (TTM),0.0096
Return On Investment (TTM),0.079
Revenue Per Employee (TTM),337521.0
Total Debt/Total Capital (MRQ),0.929
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2020-09-02 00:00:00
cfra since,2009-03-24 00:00:00
ford since,2022-05-27 00:00:00
marketEdge opinion since,
