,NTRS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",12.86,20.51,Valuation,0.6270112140419307
Price/Sales (TTM),2.76,12.46,Valuation,0.22150882825040125
Price/Book (MRQ),1.94,4.63,Valuation,0.4190064794816415
"PEG Ratio (TTM, GAAP)",2.88,2.67,Valuation,1.0786516853932584
Gross Profit Margin (TTM),0.9702,0.5835,Profitability,1.6627249357326477
Operating Profit Margin (TTM),0.2928,0.269,Profitability,1.0884758364312268
Net Profit Margin (TTM),0.22280000000000003,0.1791,Profitability,1.243997766610832
Annual Dividend Yield,0.0318,0.0257,Dividend,1.2373540856031129
Dividend Change %,0.0,0.2049,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.1565,0.1213,Dividend,1.2901896125309151
EPS Growth (MRQ),-0.0333,-0.2356,Gowth rates,0.14134125636672326
EPS Growth (TTM),0.15630000000000002,-0.0768,Gowth rates,-2.0351562500000004
Revenue Growth (MRQ),0.0926,0.0931,Gowth rates,0.9946294307196563
Revenue Growth (TTM),0.13460000000000003,0.0447,Gowth rates,3.0111856823266225
Return On Equity (TTM),0.1448,0.1783,Effectiveness,0.8121144139091421
Return On Assets (TTM),0.0096,0.0492,Effectiveness,0.19512195121951217
Return On Investment (TTM),0.079,0.1008,Effectiveness,0.7837301587301587
Revenue Per Employee (TTM),337521.0,1125238.0,Effectiveness,0.29995520947568427
Total Debt/Total Capital (MRQ),0.929,0.5241,Financial strength,1.772562488074795
Change in Debt/Total Capital Quarter over Quarter,0.0,0.0008,Financial strength,0.0
Quick Ratio (MRQ),,0.0,Financial strength,
Interest Coverage (MRQ),,21.92,Financial strength,
