,VIAC
% Above Low,0.27890000000000004
% Held by Institutions,0.7532
52-Wk Range,['15.29 - 39.21']
Annual Dividend $,0.96
Annual Dividend %,0.0482
Ask,19.57
Ask Size,500.0
B/A Ratio,1.8
B/A Size,900x500
Beta,1.5
Bid,19.56
Bid Size,900.0
Day Change $,-0.355
Day Change %,-0.0178
Day High,19.83
Day Low,19.46
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",4.24
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.561
Last (size),100.0
Last (time),10:03a ET 11/28/22
Market Cap,12.7B
"P/E Ratio (TTM, GAAP)",4.7
Prev Close,19.91
Price,19.56
Short Interest,0.1294
Today's Open,19.68
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.4782608695652174
Growth 1yr High Est,-0.45518867924528306
Growth 1yr Consensus Est,-0.46672477440525023
Growth 2yr Low Est,-0.5780193236714977
Growth 2yr High Est,-0.2773778894061913
Growth 2yr Consensus Est,-0.4276986065388445
Growth 5yr Low Est,-0.43045899773588564
Growth 5yr High Est,-0.21167202750000605
Growth 5yr Consensus Est,-0.32106551261794586
Growth 5yr Actual/Est,-0.2683481436142493
Growth 3yr Historic,-0.08327630453378956
Price/Earnings (TTM),4.6952
Price/Sales (TTM),0.4343
Price/Book (MRQ),0.57057
Price/Cash Flow (TTM),3.77091
5yr Low,10.1
5yr High,101.97
5yr Avg Return,-0.1464
EPS Growth 5yr,0.1383159
Revenue Growth 5yr,0.16772320000000002
Dividend Growth 5yr,0.0878929
Short Int Current Month,74475815.0
Short Int Prev Month,70448382.0
Short Int Pct of Float,0.1294017
Days to Cover,3.68687
Float,584.8267
Shares Outstanding,649.1744
Institutions Holding Shares,1067.0
FCF Growth 5yr,-0.30865015840337034
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-04-29 00:00:00
theStreet since,2021-12-09 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-11-02 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
