,WIX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,53.11,Valuation,
Price/Sales (TTM),3.63,19.35,Valuation,0.18759689922480619
Price/Book (MRQ),,19.03,Valuation,
"PEG Ratio (TTM, GAAP)",,3.41,Valuation,
Gross Profit Margin (TTM),0.6133,0.44520000000000004,Profitability,1.377583108715184
Operating Profit Margin (TTM),-0.2579,0.3027,Profitability,-0.85199867855963
Net Profit Margin (TTM),-0.3651,0.23600000000000002,Profitability,-1.5470338983050846
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),0.5772,-3.5569,Gowth rates,-0.16227613933481402
EPS Growth (TTM),-19.5407,0.15560000000000002,Gowth rates,-125.58290488431876
Revenue Growth (MRQ),0.0017000000000000001,0.16460000000000002,Gowth rates,0.010328068043742405
Revenue Growth (TTM),0.1207,0.2273,Gowth rates,0.5310162780466344
Return On Equity (TTM),-7.5668,0.5459,Effectiveness,-13.86114673017036
Return On Assets (TTM),-0.2469,0.1131,Effectiveness,-2.183023872679045
Return On Investment (TTM),-0.47009999999999996,0.18910000000000002,Effectiveness,-2.4859862506610253
Revenue Per Employee (TTM),284186.0,686074.0,Effectiveness,0.4142206234312917
Total Debt/Total Capital (MRQ),1.0747,0.5613,Financial strength,1.914662390878318
Change in Debt/Total Capital Quarter over Quarter,0.0005,0.0048,Financial strength,0.10416666666666667
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),,27.21,Financial strength,
