,WIX
% Above Low,0.5828
% Held by Institutions,0.8533
52-Wk Range,['53.12 - 164.10']
Annual Dividend $,
Annual Dividend %,
Ask,84.61
Ask Size,100.0
B/A Ratio,28.0
B/A Size,2800x100
Beta,1.1
Bid,83.74
Bid Size,2800.0
Closing Price,84.08
Day Change $,-2.28
Day Change %,-0.0264
Day High,88.16
Day Low,84.03
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-8.63
Ex-dividend Date,No dividend
Historical Volatility,0.788
Last (size),27.0
Last (time),4:00p ET 11/28/22
Market Cap,4.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,86.36
Short Interest,0.0691
Today's Open,85.88
Volume,523671.0
Volume 10-day Avg,731683.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.6131687242798354
Growth 1yr High Est,-0.5142857142857142
Growth 1yr Consensus Est,-0.5637272192827748
Growth 2yr Low Est,-0.5991375536292793
Growth 2yr High Est,-6.492436974789915
Growth 2yr Consensus Est,-3.545787264209597
Growth 5yr Low Est,-1.232153046477561
Growth 5yr High Est,-3.6351073762838464
Growth 5yr Consensus Est,-2.433630211380704
Growth 5yr Actual/Est,-0.4616913821050513
Growth 3yr Historic,0.19575563325563317
Price/Earnings (TTM),
Price/Sales (TTM),3.63306
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,50.9
5yr High,362.07
5yr Avg Return,0.20091666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.34346649999999995
Dividend Growth 5yr,
Short Int Current Month,3823247.0
Short Int Prev Month,4277041.0
Short Int Pct of Float,0.0690683
Days to Cover,3.29194
Float,55.35571
Shares Outstanding,57.25419
Institutions Holding Shares,454.0
FCF Growth 5yr,-0.4232709808480087
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6133
Operating Profit Margin (TTM),-0.2579
Net Profit Margin (TTM),-0.3651
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5772
EPS Growth (TTM),-19.5407
Revenue Growth (MRQ),0.0017000000000000001
Revenue Growth (TTM),0.1207
Return On Equity (TTM),-7.5668
Return On Assets (TTM),-0.2469
Return On Investment (TTM),-0.47009999999999996
Revenue Per Employee (TTM),284186.0
Total Debt/Total Capital (MRQ),1.0747
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-05-10 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-08-13 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-05-17 00:00:00
