,NYT
% Above Low,0.2713
% Held by Institutions,0.938
52-Wk Range,['27.59 - 48.61']
Annual Dividend $,0.36
Annual Dividend %,0.0103
Ask,38.23
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,34.12
Bid Size,100.0
Closing Price,35.07
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-21 00:00:00
"EPS (TTM, GAAP)",1.03
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.397
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,5.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",34.02
Prev Close,35.07
Short Interest,0.032799999999999996
Today's Open,
Volume,300097.0
Volume 10-day Avg,903182.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.009433962264150941
Growth 2yr High Est,0.21100917431192667
Growth 2yr Consensus Est,0.10078760602388787
Growth 5yr Low Est,-0.009433962264150941
Growth 5yr High Est,0.21100917431192667
Growth 5yr Consensus Est,0.10078760602388787
Growth 5yr Actual/Est,0.07756951188638211
Growth 3yr Historic,0.09348386373823397
Price/Earnings (TTM),34.01816
Price/Sales (TTM),2.5956
Price/Book (MRQ),3.77649
Price/Cash Flow (TTM),23.37955
5yr Low,17.5
5yr High,58.73
5yr Avg Return,0.15225000000000002
EPS Growth 5yr,0.4664067
Revenue Growth 5yr,0.059334899999999996
Dividend Growth 5yr,0.0696104
Short Int Current Month,5294151.0
Short Int Prev Month,6454685.0
Short Int Pct of Float,0.0327506
Days to Cover,2.74456
Float,161.6989
Shares Outstanding,165.4181
Institutions Holding Shares,420.0
FCF Growth 5yr,-7.667476041491622
"Price/Earnings (TTM, GAAP)",34.02
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4823
Operating Profit Margin (TTM),0.0909
Net Profit Margin (TTM),0.07740000000000001
Annual Dividend Yield,0.0103
Dividend Change %,0.16670000000000001
"Dividend Growth Rate, 3 Years",0.20510000000000003
EPS Growth (MRQ),-0.4032
EPS Growth (TTM),0.0842
Revenue Growth (MRQ),-0.0144
Revenue Growth (TTM),0.1231
Return On Equity (TTM),0.115
Return On Assets (TTM),0.0694
Return On Investment (TTM),0.0888
Revenue Per Employee (TTM),447003.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-07-12 00:00:00
theStreet since,2022-06-07 00:00:00
cfra since,2022-11-02 00:00:00
ford since,2021-01-22 00:00:00
marketEdge opinion since,
