,POOL
% Above Low,0.16390000000000002
% Held by Institutions,0.9971
52-Wk Range,['278.10 - 572.76']
Annual Dividend $,4.0
Annual Dividend %,0.012199999999999999
Ask,324.2
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.8
Bid,323.51
Bid Size,100.0
Day Change $,-5.14
Day Change %,-0.015600000000000001
Day High,329.02
Day Low,323.27
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",19.65
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.42600000000000005
Last (size),100.0
Last (time),11:15a ET 11/28/22
Market Cap,12.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.73
Prev Close,328.82
Price,323.68
Short Interest,0.10039999999999999
Today's Open,326.13
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.23102310231023093
Growth 1yr High Est,0.2379084967320262
Growth 1yr Consensus Est,0.23446579952112856
Growth 2yr Low Est,0.05250887018996808
Growth 2yr High Est,0.13373777529315134
Growth 2yr Consensus Est,0.09312332274155971
Growth 5yr Low Est,0.3764921530030665
Growth 5yr High Est,0.41452513764657567
Growth 5yr Consensus Est,0.3955086453248211
Growth 5yr Actual/Est,0.31877631846932747
Growth 3yr Historic,0.2925661452628696
Price/Earnings (TTM),16.73474
Price/Sales (TTM),2.09836
Price/Book (MRQ),10.7835
Price/Cash Flow (TTM),15.62983
5yr Low,121.72
5yr High,582.27
5yr Avg Return,0.24963333333333335
EPS Growth 5yr,0.3591527
Revenue Growth 5yr,0.15549749999999998
Dividend Growth 5yr,0.20152789999999998
Short Int Current Month,3800735.0
Short Int Prev Month,3796222.0
Short Int Pct of Float,0.1004391
Days to Cover,7.0266
Float,37.84119
Shares Outstanding,39.05062
Institutions Holding Shares,931.0
FCF Growth 5yr,9.056478145510404
"Price/Earnings (TTM, GAAP)",16.73
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.317
Operating Profit Margin (TTM),0.171
Net Profit Margin (TTM),0.12810000000000002
Annual Dividend Yield,0.0122
Dividend Change %,0.3013
"Dividend Growth Rate, 3 Years",0.2011
EPS Growth (MRQ),-0.38130000000000003
EPS Growth (TTM),0.33
Revenue Growth (MRQ),-0.2143
Revenue Growth (TTM),0.2
Return On Equity (TTM),0.7173
Return On Assets (TTM),0.2626
Return On Investment (TTM),0.34759999999999996
Revenue Per Employee (TTM),1112612.0
Total Debt/Total Capital (MRQ),0.5595
Change in Debt/Total Capital Quarter over Quarter,0.0158
Quick Ratio (MRQ),0.9
Interest Coverage (MRQ),22.54
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-06-24 00:00:00
theStreet since,2022-06-03 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-21 00:00:00
ford since,2022-06-24 00:00:00
marketEdge opinion since,
