,PNM
% Below High,0.022099999999999998
% Held by Institutions,0.8906999999999999
52-Wk Range,['43.43 - 49.70']
Annual Dividend $,1.39
Annual Dividend %,0.0285
Ask,48.6
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,0.4
Bid,48.59
Bid Size,100.0
Day Change $,-0.16
Day Change %,-0.0033
Day High,48.73
Day Low,48.46
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",1.92
Ex-dividend,2022-10-26 00:00:00
Ex-dividend Date,10/26/22
Historical Volatility,0.138
Last (size),100.0
Last (time),11:09a ET 11/28/22
Market Cap,4.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.45
Prev Close,48.76
Price,48.6
Short Interest,0.029900000000000003
Today's Open,48.61
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.047008547008547064
Growth 1yr High Est,0.06827309236947787
Growth 1yr Consensus Est,0.05764081968901247
Growth 2yr Low Est,0.02962672248386533
Growth 2yr High Est,0.037895944680979565
Growth 2yr Consensus Est,0.03376133358242245
Growth 5yr Low Est,0.04800804923645813
Growth 5yr High Est,0.05578545637624971
Growth 5yr Consensus Est,0.05189675280635392
Growth 5yr Actual/Est,0.04971070694754903
Growth 3yr Historic,0.03252923976608185
Price/Earnings (TTM),25.44938
Price/Sales (TTM),1.98562
Price/Book (MRQ),1.90079
Price/Cash Flow (TTM),8.24678
5yr Low,27.08
5yr High,56.14
5yr Avg Return,0.017483333333333337
EPS Growth 5yr,0.0929488
Revenue Growth 5yr,0.054828299999999996
Dividend Growth 5yr,0.08282360000000001
Short Int Current Month,2532717.0
Short Int Prev Month,2609193.0
Short Int Pct of Float,0.029908100000000003
Days to Cover,4.06103
Float,84.68324
Shares Outstanding,85.83487
Institutions Holding Shares,348.0
FCF Growth 5yr,0.3614236892556473
"Price/Earnings (TTM, GAAP)",25.45
"PEG Ratio (TTM, GAAP)",4.87
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.17850000000000002
Net Profit Margin (TTM),0.0855
Annual Dividend Yield,0.0285
Dividend Change %,0.065
"Dividend Growth Rate, 3 Years",0.0731
EPS Growth (MRQ),6.9819
EPS Growth (TTM),-0.1492
Revenue Growth (MRQ),0.4606
Revenue Growth (TTM),0.23620000000000002
Return On Equity (TTM),0.0759
Return On Assets (TTM),0.0209
Return On Investment (TTM),0.0225
Revenue Per Employee (TTM),1317382.0
Total Debt/Total Capital (MRQ),0.6473000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),0.52
Interest Coverage (MRQ),3.94
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2020-09-01 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-19 00:00:00
cfra since,
marketEdge opinion since,
