,EYE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",56.07,19.03,Valuation,2.9464004203888594
Price/Sales (TTM),1.57,1.93,Valuation,0.8134715025906736
Price/Book (MRQ),3.48,92.12,Valuation,0.03777681285280069
"PEG Ratio (TTM, GAAP)",,7.27,Valuation,
Gross Profit Margin (TTM),0.5427000000000001,0.34390000000000004,Profitability,1.5780750218086654
Operating Profit Margin (TTM),0.0392,0.11789999999999999,Profitability,0.33248515691263786
Net Profit Margin (TTM),0.0286,0.0818,Profitability,0.34963325183374083
Annual Dividend Yield,,0.016200000000000003,Dividend,
Dividend Change %,,0.2582,Dividend,
"Dividend Growth Rate, 3 Years",,0.09390000000000001,Dividend,
EPS Growth (MRQ),0.198,-0.10800000000000001,Gowth rates,-1.8333333333333333
EPS Growth (TTM),-0.5957,0.0262,Gowth rates,-22.736641221374047
Revenue Growth (MRQ),-0.0203,0.0478,Gowth rates,-0.4246861924686192
Revenue Growth (TTM),-0.0401,0.0874,Gowth rates,-0.4588100686498855
Return On Equity (TTM),0.0608,5.2054,Effectiveness,0.011680178276405271
Return On Assets (TTM),0.0245,0.1562,Effectiveness,0.15685019206145967
Return On Investment (TTM),0.028700000000000003,0.26,Effectiveness,0.11038461538461539
Revenue Per Employee (TTM),146656.0,410011.0,Effectiveness,0.35768796446924594
Total Debt/Total Capital (MRQ),0.38520000000000004,0.8926999999999999,Financial strength,0.43149994399014235
Change in Debt/Total Capital Quarter over Quarter,-0.0004,0.0016,Financial strength,-0.25
Quick Ratio (MRQ),1.05,0.39,Financial strength,2.6923076923076925
Interest Coverage (MRQ),,13.36,Financial strength,
