,EYE
% Below High,0.1979
% Held by Institutions,1.2348000000000001
52-Wk Range,['22.59 - 49.87']
Annual Dividend $,
Annual Dividend %,
Ask,41.56
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.5
Bid,16.08
Bid Size,200.0
Closing Price,40.0
Day Change $,-0.46
Day Change %,-0.011399999999999999
Day High,40.68
Day Low,38.78
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.71
Ex-dividend Date,No dividend
Historical Volatility,0.554
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,3.2B
"P/E Ratio (TTM, GAAP)",56.07
Prev Close,40.46
Short Interest,0.0843
Today's Open,40.35
Volume,143979.0
Volume 10-day Avg,728274.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.6037735849056602
Growth 2yr High Est,0.4800000000000002
Growth 2yr Consensus Est,0.5418867924528302
Growth 5yr Low Est,0.6037735849056602
Growth 5yr High Est,0.4800000000000002
Growth 5yr Consensus Est,0.5418867924528302
Growth 5yr Actual/Est,0.1627073103522379
Growth 3yr Historic,0.18745760412427076
Price/Earnings (TTM),56.06795
Price/Sales (TTM),1.56703
Price/Book (MRQ),3.48033
Price/Cash Flow (TTM),20.06674
5yr Low,11.7
5yr High,65.92
5yr Avg Return,0.06659999999999999
EPS Growth 5yr,0.43666580000000005
Revenue Growth 5yr,0.1169467
Dividend Growth 5yr,
Short Int Current Month,6525416.0
Short Int Prev Month,7745138.0
Short Int Pct of Float,0.0842511
Days to Cover,6.49522
Float,77.4593
Shares Outstanding,78.91246
Institutions Holding Shares,270.0
FCF Growth 5yr,-0.031590885739036935
"Price/Earnings (TTM, GAAP)",56.07
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5427000000000001
Operating Profit Margin (TTM),0.0392
Net Profit Margin (TTM),0.0286
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.198
EPS Growth (TTM),-0.5957
Revenue Growth (MRQ),-0.0203
Revenue Growth (TTM),-0.0401
Return On Equity (TTM),0.0608
Return On Assets (TTM),0.0245
Return On Investment (TTM),0.028700000000000003
Revenue Per Employee (TTM),146656.0
Total Debt/Total Capital (MRQ),0.38520000000000004
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),1.05
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-03-31 00:00:00
researchTeam since,2021-06-04 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-06-25 00:00:00
cfra since,
marketEdge opinion since,
