,AMAT
Price/Earnings (TTM),14.22782
Price/Sales (TTM),3.53065
Price/Book (MRQ),7.4658
Price/Cash Flow (TTM),13.06327
5yr Low,28.79
5yr High,167.06
5yr Avg Return,0.21700000000000003
EPS Growth 5yr,0.1804245
Revenue Growth 5yr,0.11897859999999999
Dividend Growth 5yr,0.20112439999999998
Short Int Current Month,17072568.0
Short Int Prev Month,14761271.0
Short Int Pct of Float,0.0199137
Days to Cover,1.94167
Float,857.5706
Shares Outstanding,860.3094
Institutions Holding Shares,2200.0
% Held by Institutions,0.7769750000000001
FCF Growth 5yr,0.23465260330502233
