,AMAT
% Above Low,0.4879
% Held by Institutions,0.777
52-Wk Range,['71.12 - 167.06']
Annual Dividend $,1.04
Annual Dividend %,0.0098
Ask,105.92
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.5
Bid,105.54
Bid Size,100.0
Closing Price,105.82
Day Change $,-1.85
Day Change %,-0.0172
Day High,107.5
Day Low,105.79
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",7.44
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.511
Last (size),3.0
Last (time),12:59p ET 11/25/22
Market Cap,91.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.23
Prev Close,107.67
Short Interest,0.0199
Today's Open,106.92
Volume,3012477.0
Volume 10-day Avg,8964477.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,-0.22527472527472536
Growth 1yr High Est,0.13256113256113267
Growth 1yr Consensus Est,-0.04635679635679635
Growth 2yr Low Est,-0.14987140519055414
Growth 2yr High Est,0.09809874809874808
Growth 2yr Consensus Est,-0.02588632854590303
Growth 5yr Low Est,0.1365487674629294
Growth 5yr High Est,0.24986266279549751
Growth 5yr Consensus Est,0.19320571512921347
Growth 5yr Actual/Est,0.1620484382264727
Growth 3yr Historic,0.19150469098405487
Price/Earnings (TTM),14.22782
Price/Sales (TTM),3.53065
Price/Book (MRQ),7.4658
Price/Cash Flow (TTM),13.06327
5yr Low,28.79
5yr High,167.06
5yr Avg Return,0.21700000000000003
EPS Growth 5yr,0.1804245
Revenue Growth 5yr,0.11897859999999999
Dividend Growth 5yr,0.20112439999999998
Short Int Current Month,17072568.0
Short Int Prev Month,14761271.0
Short Int Pct of Float,0.0199137
Days to Cover,1.94167
Float,857.5706
Shares Outstanding,860.3094
Institutions Holding Shares,2200.0
FCF Growth 5yr,0.23465260330502233
"Price/Earnings (TTM, GAAP)",14.23
"PEG Ratio (TTM, GAAP)",1.32
Gross Profit Margin (TTM),0.4651
Operating Profit Margin (TTM),0.302
Net Profit Margin (TTM),0.2531
Annual Dividend Yield,0.0098
Dividend Change %,0.087
"Dividend Growth Rate, 3 Years",0.0684
EPS Growth (MRQ),0.0022
EPS Growth (TTM),0.1597
Revenue Growth (MRQ),0.0351
Revenue Growth (TTM),0.11800000000000001
Return On Equity (TTM),0.5339
Return On Assets (TTM),0.2483
Return On Investment (TTM),0.3361
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.30920000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),1.35
Interest Coverage (MRQ),44.62
researchTeam,rating-box
cfra,
theStreet,rating-box
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-10-12 00:00:00
cfra since,2021-12-14 00:00:00
theStreet since,2022-11-25 00:00:00
ford since,2022-10-14 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
