,APG
% Above Low,0.4354
% Held by Institutions,0.8589
52-Wk Range,['13.09 - 26.84']
Annual Dividend $,
Annual Dividend %,
Ask,25.0
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.7
Bid,13.18
Bid Size,100.0
Closing Price,18.79
Day Change $,0.09
Day Change %,0.0048
Day High,18.91
Day Low,18.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.76
Ex-dividend Date,No dividend
Historical Volatility,0.40700000000000003
Last (size),6.0
Last (time),5:00p ET 11/25/22
Market Cap,4.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,18.7
Short Interest,0.021
Today's Open,18.75
Volume,166239.0
Volume 10-day Avg,1023876.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.20792079207920788
Growth 1yr High Est,0.26923076923076916
Growth 1yr Consensus Est,0.23857578065498852
Growth 2yr Low Est,0.1285505599740302
Growth 2yr High Est,0.2558275058275057
Growth 2yr Consensus Est,0.19218903290076794
Growth 5yr Low Est,0.04768867740958741
Growth 5yr High Est,0.1285348638289814
Growth 5yr Consensus Est,0.08811177061928442
Growth 5yr Actual/Est,0.08161991862453429
Growth 3yr Historic,-0.05191256830601091
Price/Earnings (TTM),
Price/Sales (TTM),0.73657
Price/Book (MRQ),2.04318
Price/Cash Flow (TTM),36.0255
5yr Low,4.3
5yr High,26.84
5yr Avg Return,0.16026666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.0860198
Dividend Growth 5yr,
Short Int Current Month,4316081.0
Short Int Prev Month,5521664.0
Short Int Pct of Float,0.0210195
Days to Cover,3.86862
Float,205.4203
Shares Outstanding,233.9069
Institutions Holding Shares,281.0
FCF Growth 5yr,-1.1647552297721027
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.25620000000000004
Operating Profit Margin (TTM),0.0282
Net Profit Margin (TTM),0.0111
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.21059999999999998
EPS Growth (TTM),0.43520000000000003
Revenue Growth (MRQ),0.052199999999999996
Revenue Growth (TTM),0.6084
Total Debt/Total Capital (MRQ),0.48740000000000006
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),1.52
Interest Coverage (MRQ),2.06
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
ford since,2022-07-22 00:00:00
cfra since,
theStreet since,2022-11-04 00:00:00
newConstructs since,
marketEdge opinion since,
