,TMUS
% Below High,0.028999999999999998
% Held by Institutions,0.4175
52-Wk Range,['101.51 - 154.38']
Annual Dividend $,
Annual Dividend %,
Ask,150.43
Ask Size,1200.0
Ask close,160.63
B/A Ratio,0.3333333333333333
B/A Size,400x1200
Beta,0.5
Bid,149.88
Bid Size,400.0
Bid close,141.71
Change Since Close,0.00| |(0.00%)
Closing Price,149.9
Day Change $,-1.15
Day Change %,-0.0076
Day High,152.21
Day Low,149.44
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.22
Ex-dividend Date,No dividend
Historical Volatility,0.297
Last (size),84.0
Last (time),3:59p ET 11/28/22
Last Trade,149.9
Market Cap,186.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",123.68
Prev Close,151.05
Short Interest,0.0288
Today's Open,151.01
Volume,4894293.0
Volume 10-day Avg,4814858.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.389558232931727
Growth 1yr High Est,-0.030927835051546504
Growth 1yr Consensus Est,-0.21024303399163674
Growth 2yr Low Est,0.940089304586768
Growth 2yr High Est,0.8976566498501134
Growth 2yr Consensus Est,0.9188729772184407
Growth 5yr Low Est,0.38783440970578287
Growth 5yr High Est,0.3775752536719854
Growth 5yr Consensus Est,0.38270483168888414
Growth 5yr Actual/Est,0.43401815653901493
Growth 3yr Historic,-0.1078405144090866
Price/Earnings (TTM),123.6827
Price/Sales (TTM),2.34668
Price/Book (MRQ),2.69178
Price/Cash Flow (TTM),11.89728
5yr Low,55.09
5yr High,154.38
5yr Avg Return,0.19044999999999998
EPS Growth 5yr,0.07399700000000001
Revenue Growth 5yr,0.1640267
Dividend Growth 5yr,
Short Int Current Month,16963140.0
Short Int Prev Month,16475479.0
Short Int Pct of Float,0.028755700000000002
Days to Cover,2.91854
Float,589.7402
Shares Outstanding,1244.154
Institutions Holding Shares,1596.0
FCF Growth 5yr,-0.3755631619409299
"Price/Earnings (TTM, GAAP)",123.68
"PEG Ratio (TTM, GAAP)",2.2
Gross Profit Margin (TTM),0.5877
Operating Profit Margin (TTM),0.060700000000000004
Net Profit Margin (TTM),0.0192
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),5.684
EPS Growth (TTM),-0.5434
Revenue Growth (MRQ),-0.011399999999999999
Revenue Growth (TTM),0.0051
Return On Equity (TTM),0.0222
Return On Assets (TTM),0.0074
Return On Investment (TTM),0.0083
Revenue Per Employee (TTM),1067773.0
Total Debt/Total Capital (MRQ),0.5344
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),0.73
Interest Coverage (MRQ),4.41
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-11-25 00:00:00
theStreet since,2022-10-31 00:00:00
cfra since,2019-01-10 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
