,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,64.4,79.17,65.21,,,,,
low,30.83,37.86,23.29,,,,,
change,0.20579999999999998,0.3369,-0.5789,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,308.0,394.0,353.0,406.0,Balance Sheet
Short Term Investments,,,,18.0,12.0,13.0,32.0,Balance Sheet
Cash and Short Term Invs,,,,327.0,407.0,366.0,439.0,Balance Sheet
"Trade Accts Recvble, Net",,,,191.0,171.0,166.0,170.0,Balance Sheet
Other Receivables,,,,5.0,6.0,6.0,6.0,Balance Sheet
"Total Receivables, Net",,,,196.0,177.0,172.0,176.0,Balance Sheet
Prepaid Expenses,,,,23.0,34.0,41.0,49.0,Balance Sheet
"Other Curr. Assets, Total",,,,0.0,,,,Balance Sheet
Total Current Assets,,,,546.0,617.0,579.0,663.0,Balance Sheet
Buildings,,,,9.0,9.0,9.0,10.0,Balance Sheet
Machinery/Equipment,,,,53.0,60.0,68.0,71.0,Balance Sheet
Construction in Progress,,,,6.0,5.0,3.0,3.0,Balance Sheet
Other Prop./Plant/Equip.,,,,63.0,63.0,64.0,69.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,131.0,137.0,144.0,153.0,Balance Sheet
Accumulated Depreciation,,,,-30.0,-33.0,-36.0,-38.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,102.0,104.0,108.0,116.0,Balance Sheet
"Goodwill, Net",,,,1575.0,1573.0,1696.0,1696.0,Balance Sheet
Intangibles - Gross,,,,628.0,628.0,663.0,663.0,Balance Sheet
Accum. Intangible Amort.,,,,-197.0,-214.0,-232.0,-249.0,Balance Sheet
Intangibles - Net,,,,431.0,415.0,431.0,414.0,Balance Sheet
Deferred Charges,,,,78.0,110.0,105.0,114.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,4116.0,4099.0,4083.0,4051.0,Balance Sheet
Restricted Cash - LT,,,,6.0,6.0,6.0,6.0,Balance Sheet
Total Assets,,,,6853.0,6924.0,7009.0,7059.0,Balance Sheet
Accounts Payable,,,,16.0,17.0,20.0,22.0,Balance Sheet
Accrued Expenses,,,,111.0,79.0,93.0,100.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,362.0,404.0,410.0,380.0,Balance Sheet
Income Taxes Payable,,,,19.0,16.0,13.0,16.0,Balance Sheet
"Other Curr. Lblts, Total",,,,380.0,419.0,423.0,396.0,Balance Sheet
Total Current Liabilities,,,,508.0,516.0,536.0,518.0,Balance Sheet
Total Long Term Debt,,,,1233.0,1234.0,1234.0,1235.0,Balance Sheet
Total Debt,,,,1233.0,1234.0,1234.0,1235.0,Balance Sheet
Deferred Income Tax,,,,2.0,2.0,2.0,2.0,Balance Sheet
Minority Interest,,,,0.0,,,,Balance Sheet
"Other Liabilities, Total",,,,3113.0,3114.0,3113.0,3108.0,Balance Sheet
Total Liabilities,,,,4855.0,4865.0,4885.0,4863.0,Balance Sheet
Redeemable Preferred Stock,,,,0.0,,,,Balance Sheet
Common Stock,,,,4.0,4.0,4.0,4.0,Balance Sheet
Additional Paid-In Capital,,,,1872.0,1910.0,1954.0,1998.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,113.0,119.0,135.0,153.0,Balance Sheet
"Other Equity, Total",,,,10.0,26.0,31.0,42.0,Balance Sheet
Total Equity,,,,1998.0,2059.0,2124.0,2196.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,6853.0,6924.0,7009.0,7059.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,403.0,403.0,403.0,404.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,0.0,,,,Balance Sheet
Shr Outs.-Com. Stk. Iss. 3,,,,0.0,,,,Balance Sheet
Ttl Comm. Shares Outs.,,,,403.0,403.0,403.0,404.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,0.0,,,,Balance Sheet
Trsy. Shrs-Comm. Iss. 3,,,,0.0,,,,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,222300.0,241700.0,267100.0,287600.0,Income Statement
"Cost of Revenue, Total",,,,40100.0,43900.0,46900.0,48200.0,Income Statement
Selling/Gen/Admin Expense,,,,76100.0,81900.0,89700.0,95000.0,Income Statement
Labor & Related Expense,,,,18500.0,22300.0,26700.0,26000.0,Income Statement
Advertising Expense,,,,7000.0,7500.0,7500.0,6600.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,101600.0,111700.0,123900.0,127600.0,Income Statement
Research & Development,,,,40500.0,45300.0,49300.0,54100.0,Income Statement
Depreciation/Amortization,,,,5300.0,5300.0,5600.0,5600.0,Income Statement
Restructuring Charge,,,,6100.0,2500.0,1100.0,200.0,Income Statement
Impair-Assets Held for Use,,,,0.0,,,,Income Statement
Other Unusual Expnse (In),,,,4500.0,1500.0,800.0,-10300.0,Income Statement
Unusual Expense (Income),,,,10600.0,4000.0,1900.0,-10100.0,Income Statement
Total Operating Expense,,,,198100.0,210200.0,227600.0,225400.0,Income Statement
Total Operating Income,,,,24200.0,31500.0,39500.0,62200.0,Income Statement
"Inter Expse,Net Non-Operat",,,,-13400.0,-11800.0,-11700.0,-11600.0,Income Statement
OtherNon-OperatInc (Expnse),,,,39100.0,-500.0,-1400.0,-600.0,Income Statement
"Other, Net",,,,39100.0,-500.0,-1400.0,-600.0,Income Statement
Income Before Tax,,,,49900.0,19200.0,26400.0,50000.0,Income Statement
Income Tax - Total,,,,-95300.0,13000.0,10500.0,32100.0,Income Statement
Income After Tax,,,,145200.0,6200.0,15900.0,17900.0,Income Statement
Minority Interest,,,,-300.0,0.0,,0.0,Income Statement
Net Inc Before Extra Items,,,,144900.0,6200.0,15900.0,17900.0,Income Statement
Total Net Income,,,,144900.0,6200.0,15900.0,17900.0,Income Statement
Total Adjust to Net Income,,,,0.0,,,,Income Statement
