,ZI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",121.3,18.12,Valuation,6.694260485651213
Price/Sales (TTM),10.79,4.52,Valuation,2.3871681415929205
Price/Book (MRQ),5.0,5.02,Valuation,0.9960159362549802
"PEG Ratio (TTM, GAAP)",3.96,8.0,Valuation,0.495
Gross Profit Margin (TTM),0.8242,0.6097,Profitability,1.35181236673774
Operating Profit Margin (TTM),0.1545,0.24480000000000002,Profitability,0.6311274509803921
Net Profit Margin (TTM),0.1818,0.1981,Profitability,0.9177183240787481
Annual Dividend Yield,,0.0001,Dividend,
Dividend Change %,,0.0003,Dividend,
"Dividend Growth Rate, 3 Years",,,Dividend,
EPS Growth (MRQ),0.125,-0.2712,Gowth rates,-0.46091445427728617
EPS Growth (TTM),2.279,-0.0227,Gowth rates,-100.3964757709251
Revenue Growth (MRQ),0.0768,0.7634000000000001,Gowth rates,0.10060256746135707
Revenue Growth (TTM),0.5328,1.7572999999999999,Gowth rates,0.30319239742787235
Return On Equity (TTM),0.0929,0.2407,Effectiveness,0.38595762359783964
Return On Assets (TTM),0.0271,0.16899999999999998,Effectiveness,0.16035502958579884
Return On Investment (TTM),0.0292,0.20510000000000003,Effectiveness,0.14236957581667478
Revenue Per Employee (TTM),371517.0,1707732.0,Effectiveness,0.21754994343374723
Total Debt/Total Capital (MRQ),0.35990000000000005,0.0821,Financial strength,4.383678440925701
Change in Debt/Total Capital Quarter over Quarter,-0.0006,0.028999999999999998,Financial strength,-0.020689655172413793
Quick Ratio (MRQ),,1.88,Financial strength,
Interest Coverage (MRQ),4.49,29.8,Financial strength,0.15067114093959733
