,PEG
% Above Low,0.1208
% Held by Institutions,0.7126
52-Wk Range,['52.51 - 75.61']
Annual Dividend $,2.16
Annual Dividend %,0.0365
Ask,58.86
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,0.6
Bid,58.84
Bid Size,300.0
Day Change $,-0.365
Day Change %,-0.0062
Day High,59.07
Day Low,58.25
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",1.37
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.23800000000000002
Last (size),100.0
Last (time),10:27a ET 11/28/22
Market Cap,29.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",43.26
Prev Close,59.22
Price,58.86
Short Interest,0.0079
Today's Open,58.72
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.06666666666666676
Growth 1yr High Est,-0.049180327868852514
Growth 1yr Consensus Est,-0.05792349726775964
Growth 2yr Low Est,-0.028869047619047683
Growth 2yr High Est,-0.005912003014886036
Growth 2yr Consensus Est,-0.01739052531696686
Growth 5yr Low Est,0.018399179735172216
Growth 5yr High Est,0.025227746483332036
Growth 5yr Consensus Est,0.021813463109252126
Growth 5yr Actual/Est,0.015943195158500817
Growth 3yr Historic,0.02746791225200884
Price/Earnings (TTM),43.25943
Price/Sales (TTM),3.04084
Price/Book (MRQ),2.22114
Price/Cash Flow (TTM),16.59989
5yr Low,34.75
5yr High,75.61
5yr Avg Return,0.025933333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.0163221
Dividend Growth 5yr,0.0446174
Short Int Current Month,3925611.0
Short Int Prev Month,3793268.0
Short Int Pct of Float,0.007883
Days to Cover,0.88932
Float,498.1049
Shares Outstanding,498.9497
Institutions Holding Shares,1198.0
FCF Growth 5yr,1.0234274179874399
"Price/Earnings (TTM, GAAP)",43.26
"PEG Ratio (TTM, GAAP)",12.28
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1051
Net Profit Margin (TTM),0.0708
Annual Dividend Yield,0.0365
Dividend Change %,0.0408
"Dividend Growth Rate, 3 Years",0.0426
EPS Growth (MRQ),-0.1298
EPS Growth (TTM),2.0322999999999998
Revenue Growth (MRQ),0.0944
Revenue Growth (TTM),0.0716
Return On Equity (TTM),0.0504
Return On Assets (TTM),0.014199999999999999
Return On Investment (TTM),0.0167
Revenue Per Employee (TTM),766083.0
Total Debt/Total Capital (MRQ),0.6004
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),0.46
Interest Coverage (MRQ),0.95
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-08-06 00:00:00
theStreet since,2022-06-14 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-08-02 00:00:00
ford since,2022-07-15 00:00:00
marketEdge opinion since,
