,WM
% Below High,0.0647
% Held by Institutions,0.8445999999999999
52-Wk Range,['138.58 - 175.98']
Annual Dividend $,2.6
Annual Dividend %,0.0158
Ask,169.06
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,162.18
Bid Size,100.0
Closing Price,164.59
Day Change $,0.13
Day Change %,0.0008
Day High,165.16
Day Low,163.51
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",5.38
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.22
Last (size),10.0
Last (time),7:00p ET 11/28/22
Market Cap,67.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",30.56
Prev Close,164.46
Short Interest,0.0105
Today's Open,163.51
Volume,2245553.0
Volume 10-day Avg,1652587.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.17263157894736847
Growth 1yr High Est,0.1630218687872762
Growth 1yr Consensus Est,0.16782672386732234
Growth 2yr Low Est,0.10247377870169139
Growth 2yr High Est,0.13963059251329624
Growth 2yr Consensus Est,0.12105218560749381
Growth 5yr Low Est,0.08266960292769751
Growth 5yr High Est,0.10407494211139287
Growth 5yr Consensus Est,0.09337227251954519
Growth 5yr Actual/Est,0.0917254116850891
Growth 3yr Historic,0.029225411685089048
Price/Earnings (TTM),30.5552
Price/Sales (TTM),3.47241
Price/Book (MRQ),9.63157
Price/Cash Flow (TTM),15.88775
5yr Low,78.39
5yr High,175.98
5yr Avg Return,0.13704999999999998
EPS Growth 5yr,0.10158070000000001
Revenue Growth 5yr,0.0567096
Dividend Growth 5yr,0.0699828
Short Int Current Month,4295247.0
Short Int Prev Month,3919659.0
Short Int Pct of Float,0.0104893
Days to Cover,2.4599
Float,409.5857
Shares Outstanding,410.4771
Institutions Holding Shares,2223.0
FCF Growth 5yr,0.08488447887181794
"Price/Earnings (TTM, GAAP)",30.56
"PEG Ratio (TTM, GAAP)",2.62
Gross Profit Margin (TTM),0.46549999999999997
Operating Profit Margin (TTM),0.17070000000000002
Net Profit Margin (TTM),0.1155
Annual Dividend Yield,0.0158
Dividend Change %,0.055
"Dividend Growth Rate, 3 Years",0.0733
EPS Growth (MRQ),0.0941
EPS Growth (TTM),0.309
Revenue Growth (MRQ),0.0095
Revenue Growth (TTM),0.1225
Return On Equity (TTM),0.3166
Return On Assets (TTM),0.0765
Return On Investment (TTM),0.0885
Revenue Per Employee (TTM),400845.0
Total Debt/Total Capital (MRQ),0.6673
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),0.81
Interest Coverage (MRQ),8.73
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-09-02 00:00:00
theStreet since,2014-04-25 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-23 00:00:00
ford since,2022-09-02 00:00:00
marketEdge opinion since,
