,WM
Price/Earnings (TTM),30.5552
Price/Sales (TTM),3.47241
Price/Book (MRQ),9.63157
Price/Cash Flow (TTM),15.88775
5yr Low,78.39
5yr High,175.98
5yr Avg Return,0.13704999999999998
EPS Growth 5yr,0.10158070000000001
Revenue Growth 5yr,0.0567096
Dividend Growth 5yr,0.0699828
Short Int Current Month,4295247.0
Short Int Prev Month,3919659.0
Short Int Pct of Float,0.0104893
Days to Cover,2.4599
Float,409.5857
Shares Outstanding,410.4771
Institutions Holding Shares,2223.0
% Held by Institutions,0.844642
FCF Growth 5yr,0.08488447887181794
