,OKE
% Below High,0.1285
% Held by Institutions,0.6796
52-Wk Range,['50.50 - 75.07']
Annual Dividend $,3.74
Annual Dividend %,0.0572
Ask,64.52
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,63.75
Bid Size,100.0
Change Since Close,-1.17| |(-1.79%)
Closing Price,65.42
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-14 00:00:00
"EPS (TTM, GAAP)",3.6
Ex-dividend,2022-10-31 00:00:00
Ex-dividend Date,10/31/22
Historical Volatility,0.34500000000000003
Last (size),18.0
Last (time),5:00p ET 11/25/22
Last Trade,64.25
Market Cap,29.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.15
Prev Close,65.42
Short Interest,0.0206
Today's Open,
Volume,7449.0
Volume 10-day Avg,2319434.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.11711711711711725
Growth 1yr High Est,0.06301369863013706
Growth 1yr Consensus Est,0.09006540787362716
Growth 2yr Low Est,0.10156931124673063
Growth 2yr High Est,0.13975427199548085
Growth 2yr Consensus Est,0.12066179162110574
Growth 5yr Low Est,0.10711070888935084
Growth 5yr High Est,0.11138336112930244
Growth 5yr Consensus Est,0.10924703500932664
Growth 5yr Actual/Est,0.10781602868816034
Growth 3yr Historic,0.0360860956760555
Price/Earnings (TTM),18.1517
Price/Sales (TTM),1.28383
Price/Book (MRQ),4.63214
Price/Cash Flow (TTM),13.06857
5yr Low,12.16
5yr High,78.48
5yr Avg Return,0.10376666666666667
EPS Growth 5yr,0.1497389
Revenue Growth 5yr,0.1314273
Dividend Growth 5yr,0.0873949
Short Int Current Month,9137765.0
Short Int Prev Month,7981740.0
Short Int Pct of Float,0.0205787
Days to Cover,3.5337
Float,444.2347
Shares Outstanding,446.9538
Institutions Holding Shares,1254.0
FCF Growth 5yr,0.633278963698197
"Price/Earnings (TTM, GAAP)",18.15
"PEG Ratio (TTM, GAAP)",2.24
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1187
Net Profit Margin (TTM),0.071
Annual Dividend Yield,0.0572
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.048499999999999995
EPS Growth (MRQ),0.04190000000000001
EPS Growth (TTM),0.1286
Revenue Growth (MRQ),-0.0139
Revenue Growth (TTM),0.6636
Return On Equity (TTM),0.2659
Return On Assets (TTM),0.0669
Return On Investment (TTM),0.0782
Revenue Per Employee (TTM),7999773.0
Total Debt/Total Capital (MRQ),0.6858
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),0.49
Interest Coverage (MRQ),5.46
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-21 00:00:00
theStreet since,2021-04-29 00:00:00
cfra since,2021-12-22 00:00:00
ford since,2022-10-21 00:00:00
marketEdge opinion since,
