,OKE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",18.15,9.13,Valuation,1.9879518072289153
Price/Sales (TTM),1.28,7.57,Valuation,0.1690885072655218
Price/Book (MRQ),4.63,4.65,Valuation,0.9956989247311827
"PEG Ratio (TTM, GAAP)",2.24,0.01,Valuation,224.00000000000003
Gross Profit Margin (TTM),,0.35119999999999996,Profitability,
Operating Profit Margin (TTM),0.1187,0.192,Profitability,0.6182291666666666
Net Profit Margin (TTM),0.071,0.0358,Profitability,1.983240223463687
Annual Dividend Yield,0.0572,0.0379,Dividend,1.5092348284960422
Dividend Change %,0.0,0.13269999999999998,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.048499999999999995,0.10189999999999999,Dividend,0.4759568204121688
EPS Growth (MRQ),0.04190000000000001,2.3421000000000003,Gowth rates,0.01788992784253448
EPS Growth (TTM),0.1286,7.2215,Gowth rates,0.017807934639617808
Revenue Growth (MRQ),-0.0139,0.7168000000000001,Gowth rates,-0.01939174107142857
Revenue Growth (TTM),0.6636,47.807,Gowth rates,0.013880812433325663
Return On Equity (TTM),0.2659,0.3993,Effectiveness,0.6659153518657652
Return On Assets (TTM),0.0669,0.15810000000000002,Effectiveness,0.4231499051233396
Return On Investment (TTM),0.0782,0.2237,Effectiveness,0.34957532409476977
Revenue Per Employee (TTM),7999773.0,7554984.0,Effectiveness,1.058873585966562
Total Debt/Total Capital (MRQ),0.6858,0.3658,Financial strength,1.8747949699289228
Change in Debt/Total Capital Quarter over Quarter,-0.0005,-0.002,Financial strength,0.25
Quick Ratio (MRQ),0.49,0.96,Financial strength,0.5104166666666666
Interest Coverage (MRQ),5.46,13.28,Financial strength,0.411144578313253
