,CMCO
% Above Low,0.32799999999999996
% Held by Institutions,0.9937
52-Wk Range,['23.54 - 50.18']
Annual Dividend $,0.28
Annual Dividend %,0.009000000000000001
Ask,49.06
Ask Size,100.0
B/A Ratio,9.0
B/A Size,900x100
Beta,1.3
Bid,12.94
Bid Size,900.0
Closing Price,31.26
Day Change $,-0.14
Day Change %,-0.0045000000000000005
Day High,31.83
Day Low,31.18
Dividend Pay Date,2022-11-14 00:00:00
"EPS (TTM, GAAP)",1.54
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.41000000000000003
Last (size),13.0
Last (time),12:59p ET 11/25/22
Market Cap,895.8M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.35
Prev Close,31.4
Short Interest,0.014199999999999999
Today's Open,31.2
Volume,51853.0
Volume 10-day Avg,140595.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.021505376344086002
Growth 1yr High Est,0.04529616724738683
Growth 1yr Consensus Est,0.011895395451650415
Growth 2yr Low Est,-0.08950726692662181
Growth 2yr High Est,0.02764808362369342
Growth 2yr Consensus Est,-0.030929591651464194
Growth 5yr Low Est,0.1976049921630312
Growth 5yr High Est,0.16503393485997508
Growth 5yr Consensus Est,0.18131946351150316
Growth 5yr Actual/Est,0.2168743173007912
Growth 3yr Historic,0.21423033986603823
Price/Earnings (TTM),20.3452
Price/Sales (TTM),0.97122
Price/Book (MRQ),1.14096
Price/Cash Flow (TTM),10.39776
5yr Low,19.2
5yr High,57.06
5yr Avg Return,-0.008150000000000008
EPS Growth 5yr,0.1941356
Revenue Growth 5yr,0.0730851
Dividend Growth 5yr,0.0844718
Short Int Current Month,396152.0
Short Int Prev Month,367545.0
Short Int Pct of Float,0.0142078
Days to Cover,2.54084
Float,27.9413
Shares Outstanding,28.62977
Institutions Holding Shares,203.0
FCF Growth 5yr,-0.2962962962962962
"Price/Earnings (TTM, GAAP)",20.35
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.35740000000000005
Operating Profit Margin (TTM),0.09720000000000001
Net Profit Margin (TTM),0.048
Annual Dividend Yield,0.009000000000000001
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.06269999999999999
EPS Growth (MRQ),0.6792
EPS Growth (TTM),0.6848000000000001
Revenue Growth (MRQ),0.052000000000000005
Revenue Growth (TTM),0.1666
Return On Equity (TTM),0.0582
Return On Assets (TTM),0.0275
Return On Investment (TTM),0.032100000000000004
Revenue Per Employee (TTM),285820.0
Total Debt/Total Capital (MRQ),0.38520000000000004
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),1.2
Interest Coverage (MRQ),3.39
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2022-01-28 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-04-04 00:00:00
