,MCD
% Below High,0.023700000000000002
% Held by Institutions,0.6624
52-Wk Range,['217.68 - 281.67']
Annual Dividend $,6.08
Annual Dividend %,0.022099999999999998
Ask,274.9
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.6
Bid,273.7
Bid Size,100.0
Change Since Close,-0.15| |(-0.05%)
Closing Price,275.0
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",7.94
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.20199999999999999
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,274.85
Market Cap,201.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",34.64
Prev Close,275.0
Short Interest,0.0089
Today's Open,
Volume,96.0
Volume 10-day Avg,3381527.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,32.0
Growth 1yr Low Est,0.051948051948051965
Growth 1yr High Est,0.06565656565656575
Growth 1yr Consensus Est,0.058802308802308856
Growth 2yr Low Est,0.0372908984020095
Growth 2yr High Est,0.08259131600363823
Growth 2yr Consensus Est,0.05994110720282386
Growth 5yr Low Est,0.09462280945307619
Growth 5yr High Est,0.12525060879244337
Growth 5yr Consensus Est,0.10993670912275978
Growth 5yr Actual/Est,0.10725563206478828
Growth 3yr Historic,0.07639199274751218
Price/Earnings (TTM),34.64043
Price/Sales (TTM),8.65742
Price/Book (MRQ),
Price/Cash Flow (TTM),25.81635
5yr Low,124.23
5yr High,281.67
5yr Avg Return,0.08416666666666667
EPS Growth 5yr,0.1302244
Revenue Growth 5yr,-0.0116313
Dividend Growth 5yr,0.0777807
Short Int Current Month,6525770.0
Short Int Prev Month,6079527.0
Short Int Pct of Float,0.0089255
Days to Cover,1.85951
Float,731.2104
Shares Outstanding,732.4239
Institutions Holding Shares,3318.0
FCF Growth 5yr,0.11436464960854249
"Price/Earnings (TTM, GAAP)",34.64
"PEG Ratio (TTM, GAAP)",5.19
Gross Profit Margin (TTM),0.5613
Operating Profit Margin (TTM),0.37170000000000003
Net Profit Margin (TTM),0.2541
Annual Dividend Yield,0.0221
Dividend Change %,0.0417
"Dividend Growth Rate, 3 Years",0.0781
EPS Growth (MRQ),0.6737000000000001
EPS Growth (TTM),-0.18059999999999998
Revenue Growth (MRQ),0.0269
Revenue Growth (TTM),0.0327
Return On Equity (TTM),
Return On Assets (TTM),0.1168
Return On Investment (TTM),0.1276
Revenue Per Employee (TTM),116326.0
Total Debt/Total Capital (MRQ),1.232
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),1.63
Interest Coverage (MRQ),13.37
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-04-29 00:00:00
theStreet since,2021-08-10 00:00:00
cfra since,2020-01-30 00:00:00
ford since,2022-04-29 00:00:00
marketEdge opinion since,
