,AMD
% Above Low,0.3769
% Held by Institutions,0.67
52-Wk Range,['54.57 - 164.46']
Annual Dividend $,
Annual Dividend %,
Ask,75.03
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,2.0
Bid,75.0
Bid Size,500.0
Closing Price,75.14
Day Change $,-1.26
Day Change %,-0.0165
Day High,76.04
Day Low,74.75
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.67
Ex-dividend Date,No dividend
Historical Volatility,0.624
Last (size),86.0
Last (time),12:59p ET 11/25/22
Market Cap,121.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",45.04
Prev Close,76.4
Short Interest,0.0242
Today's Open,75.67
Volume,26018911.0
Volume 10-day Avg,80698723.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,35.0
Growth 1yr Low Est,2.2596153846153846
Growth 1yr High Est,1.8947368421052633
Growth 1yr Consensus Est,2.077176113360324
Growth 2yr Low Est,1.0663858633991377
Growth 2yr High Est,1.0408749145591252
Growth 2yr Consensus Est,1.0536303889791314
Growth 5yr Low Est,0.7238708978012638
Growth 5yr High Est,0.7523215152505771
Growth 5yr Consensus Est,0.7380962065259205
Growth 5yr Actual/Est,0.6192490653439875
Growth 3yr Historic,0.5446039244186046
Price/Earnings (TTM),45.03797
Price/Sales (TTM),5.30719
Price/Book (MRQ),2.22078
Price/Cash Flow (TTM),22.71324
5yr Low,9.04
5yr High,164.46
5yr Avg Return,0.5421499999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.3092495
Dividend Growth 5yr,
Short Int Current Month,38796438.0
Short Int Prev Month,32943648.0
Short Int Pct of Float,0.0241982
Days to Cover,0.40857
Float,1606.701
Shares Outstanding,1612.356
Institutions Holding Shares,2293.0
FCF Growth 5yr,0.24252843062536578
"Price/Earnings (TTM, GAAP)",45.04
"PEG Ratio (TTM, GAAP)",3.05
Gross Profit Margin (TTM),0.46549999999999997
Operating Profit Margin (TTM),0.1155
Net Profit Margin (TTM),0.09910000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.8517
EPS Growth (TTM),-0.48350000000000004
Revenue Growth (MRQ),-0.1504
Revenue Growth (TTM),0.537
Return On Equity (TTM),0.0737
Return On Assets (TTM),0.057300000000000004
Return On Investment (TTM),0.0658
Revenue Per Employee (TTM),1472774.0
Total Debt/Total Capital (MRQ),0.0433
Change in Debt/Total Capital Quarter over Quarter,0.003
Quick Ratio (MRQ),1.65
Interest Coverage (MRQ),-2.32
newConstructs,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-11-11 00:00:00
cfra since,2019-10-30 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
marketEdge since,2022-11-02 00:00:00
