,AMD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",45.04,20.56,Valuation,2.190661478599222
Price/Sales (TTM),5.31,7.41,Valuation,0.7165991902834007
Price/Book (MRQ),2.22,13.13,Valuation,0.16907844630616908
"PEG Ratio (TTM, GAAP)",3.05,0.9,Valuation,3.3888888888888884
Gross Profit Margin (TTM),0.46549999999999997,0.5489,Profitability,0.848059755875387
Operating Profit Margin (TTM),0.1155,0.25739999999999996,Profitability,0.4487179487179488
Net Profit Margin (TTM),0.09910000000000001,0.2224,Profitability,0.4455935251798562
Annual Dividend Yield,,0.014499999999999999,Dividend,
Dividend Change %,,0.0676,Dividend,
"Dividend Growth Rate, 3 Years",,0.091,Dividend,
EPS Growth (MRQ),-0.8517,1.5356,Gowth rates,-0.5546366241208648
EPS Growth (TTM),-0.48350000000000004,0.2274,Gowth rates,-2.126209322779244
Revenue Growth (MRQ),-0.1504,0.1335,Gowth rates,-1.1265917602996254
Revenue Growth (TTM),0.537,0.24170000000000003,Gowth rates,2.2217625155151013
Return On Equity (TTM),0.0737,0.36920000000000003,Effectiveness,0.19962080173347777
Return On Assets (TTM),0.057300000000000004,0.16010000000000002,Effectiveness,0.35790131168019984
Return On Investment (TTM),0.0658,0.1925,Effectiveness,0.3418181818181818
Revenue Per Employee (TTM),1472774.0,898550.0,Effectiveness,1.6390562573034333
Total Debt/Total Capital (MRQ),0.0433,0.3576,Financial strength,0.12108501118568234
Change in Debt/Total Capital Quarter over Quarter,0.003,0.0,Financial strength,inf
Quick Ratio (MRQ),1.65,2.24,Financial strength,0.7366071428571428
Interest Coverage (MRQ),-2.32,15.8,Financial strength,-0.14683544303797466
