,ABT
% Above Low,0.147
% Held by Institutions,0.7323999999999999
52-Wk Range,['93.25 - 142.60']
Annual Dividend $,1.88
Annual Dividend %,0.0176
Ask,107.2
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.7
Bid,106.51
Bid Size,100.0
Closing Price,106.96
Day Change $,0.94
Day Change %,0.0089
Day High,107.35
Day Low,106.51
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",4.45
Ex-dividend,2022-10-13 00:00:00
Ex-dividend Date,10/13/22
Historical Volatility,0.266
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,186.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.03
Prev Close,106.02
Short Interest,0.009000000000000001
Today's Open,106.67
Volume,2558110.0
Volume 10-day Avg,4567684.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,0.03592814371257491
Growth 1yr High Est,0.028625954198473247
Growth 1yr Consensus Est,0.03227704895552408
Growth 2yr Low Est,-0.06777773931904979
Growth 2yr High Est,-0.03392449970966871
Growth 2yr Consensus Est,-0.05085111951435925
Growth 5yr Low Est,0.10028621451555927
Growth 5yr High Est,0.1227591273693045
Growth 5yr Consensus Est,0.11152267094243189
Growth 5yr Actual/Est,0.10017186053848937
Growth 3yr Historic,0.13848511753762893
Price/Earnings (TTM),24.02678
Price/Sales (TTM),4.14152
Price/Book (MRQ),5.22754
Price/Cash Flow (TTM),16.60369
5yr Low,54.32
5yr High,142.6
5yr Avg Return,0.13618333333333335
EPS Growth 5yr,0.40700539999999996
Revenue Growth 5yr,0.1561425
Dividend Growth 5yr,0.115958
Short Int Current Month,15649357.0
Short Int Prev Month,14185094.0
Short Int Pct of Float,0.0090471
Days to Cover,2.86801
Float,1730.769
Shares Outstanding,1743.574
Institutions Holding Shares,3238.0
FCF Growth 5yr,0.3263148589519773
"Price/Earnings (TTM, GAAP)",24.03
"PEG Ratio (TTM, GAAP)",2.89
Gross Profit Margin (TTM),0.5721
Operating Profit Margin (TTM),0.2095
Net Profit Margin (TTM),0.1752
Annual Dividend Yield,0.0176
Dividend Change %,0.25
"Dividend Growth Rate, 3 Years",0.17129999999999998
EPS Growth (MRQ),-0.2882
EPS Growth (TTM),0.0971
Revenue Growth (MRQ),-0.0752
Revenue Growth (TTM),0.0643
Return On Equity (TTM),0.22510000000000002
Return On Assets (TTM),0.1076
Return On Investment (TTM),0.1316
Revenue Per Employee (TTM),398496.0
Total Debt/Total Capital (MRQ),0.3139
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),1.43
Interest Coverage (MRQ),16.86
newConstructs,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-10-21 00:00:00
cfra since,2018-01-24 00:00:00
ford since,2022-10-21 00:00:00
marketEdge opinion since,
marketEdge since,2017-07-05 00:00:00
