,CINF
% Above Low,0.23879999999999998
% Held by Institutions,0.6636
52-Wk Range,['88.66 - 143.22']
Annual Dividend $,2.76
Annual Dividend %,0.025099999999999997
Ask,110.17
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.6
Bid,109.46
Bid Size,100.0
Closing Price,109.83
Day Change $,1.03
Day Change %,0.0095
Day High,109.94
Day Low,108.91
Dividend Pay Date,2023-01-13 00:00:00
"EPS (TTM, GAAP)",-0.36
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.334
Last (size),3900.0
Last (time),12:59p ET 11/25/22
Market Cap,17.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,108.8
Short Interest,0.0294
Today's Open,109.24
Volume,173172.0
Volume 10-day Avg,574561.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.030000000000000027
Growth 1yr High Est,0.09004739336492884
Growth 1yr Consensus Est,0.060023696682464434
Growth 2yr Low Est,0.00043689320388351494
Growth 2yr High Est,0.1319802184215949
Growth 2yr Consensus Est,0.06620855581273921
Growth 5yr Low Est,0.00021844660194175747
Growth 5yr High Est,0.06599010921079745
Growth 5yr Consensus Est,0.033104277906369606
Growth 5yr Actual/Est,0.13616922140050783
Growth 3yr Historic,0.18380516840882694
Price/Earnings (TTM),
Price/Sales (TTM),2.58423
Price/Book (MRQ),1.82953
Price/Cash Flow (TTM),230.0642
5yr Low,46.07
5yr High,143.22
5yr Avg Return,0.08435000000000001
EPS Growth 5yr,0.3852699
Revenue Growth 5yr,0.1206291
Dividend Growth 5yr,0.055575099999999995
Short Int Current Month,4590766.0
Short Int Prev Month,4445567.0
Short Int Pct of Float,0.0294378
Days to Cover,6.01775
Float,158.2936
Shares Outstanding,159.1994
Institutions Holding Shares,892.0
FCF Growth 5yr,0.9451348314792359
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-0.0118
Net Profit Margin (TTM),-0.0043
Annual Dividend Yield,0.025099999999999997
Dividend Change %,0.055099999999999996
"Dividend Growth Rate, 3 Years",0.0601
EPS Growth (MRQ),0.47740000000000005
EPS Growth (TTM),-1.0231000000000001
Revenue Growth (MRQ),0.7171
Revenue Growth (TTM),-0.2483
Return On Equity (TTM),-0.0027
Return On Assets (TTM),-0.001
Return On Investment (TTM),
Revenue Per Employee (TTM),1309717.0
Total Debt/Total Capital (MRQ),0.086
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),-40.36
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-18 00:00:00
cfra since,2018-01-20 00:00:00
ford since,2022-11-18 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-07-28 00:00:00
