,CINF,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,19.61,Valuation,
Price/Sales (TTM),2.58,2.33,Valuation,1.1072961373390557
Price/Book (MRQ),1.83,3.82,Valuation,0.4790575916230367
"PEG Ratio (TTM, GAAP)",,37.63,Valuation,
Gross Profit Margin (TTM),,0.0226,Profitability,
Operating Profit Margin (TTM),-0.0118,0.1298,Profitability,-0.09090909090909091
Net Profit Margin (TTM),-0.0043,0.10460000000000001,Profitability,-0.04110898661567877
Annual Dividend Yield,0.025099999999999997,0.0168,Dividend,1.494047619047619
Dividend Change %,0.055099999999999996,-0.0075,Dividend,-7.346666666666667
"Dividend Growth Rate, 3 Years",0.0601,0.0225,Dividend,2.671111111111111
EPS Growth (MRQ),0.47740000000000005,-0.0779,Gowth rates,-6.12836970474968
EPS Growth (TTM),-1.0231000000000001,-0.005200000000000001,Gowth rates,196.75
Revenue Growth (MRQ),0.7171,0.0897,Gowth rates,7.994425863991081
Revenue Growth (TTM),-0.2483,0.042800000000000005,Gowth rates,-5.801401869158878
Return On Equity (TTM),-0.0027,0.3775,Effectiveness,-0.007152317880794702
Return On Assets (TTM),-0.001,0.031200000000000002,Effectiveness,-0.03205128205128205
Return On Investment (TTM),,0.035,Effectiveness,
Revenue Per Employee (TTM),1309717.0,1261907.0,Effectiveness,1.0378871026153274
Total Debt/Total Capital (MRQ),0.086,0.4026,Financial strength,0.2136115250869349
Change in Debt/Total Capital Quarter over Quarter,0.0004,0.002,Financial strength,0.2
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),-40.36,10.79,Financial strength,-3.74050046339203
