,JEF
% Below High,0.0815
% Held by Institutions,0.6527
52-Wk Range,['25.88 - 41.49']
Annual Dividend $,1.2
Annual Dividend %,0.0315
Ask,43.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,37.57
Bid Size,100.0
Closing Price,38.11
Day Change $,0.44
Day Change %,0.011699999999999999
Day High,38.22
Day Low,37.56
Dividend Pay Date,2022-11-29 00:00:00
"EPS (TTM, GAAP)",3.69
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.37
Last (size),119.0
Last (time),5:00p ET 11/25/22
Market Cap,8.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.32
Prev Close,37.67
Short Interest,0.0252
Today's Open,37.64
Volume,243930.0
Volume 10-day Avg,1049021.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-11 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.5098684210526316
Growth 1yr High Est,-0.4922118380062306
Growth 1yr Consensus Est,-0.5010401295294311
Growth 2yr Low Est,-0.1794308548216178
Growth 2yr High Est,-0.16328383311354477
Growth 2yr Consensus Est,-0.1713573439675813
Growth 5yr Low Est,-0.1794308548216178
Growth 5yr High Est,-0.16328383311354477
Growth 5yr Consensus Est,-0.1713573439675813
Growth 5yr Actual/Est,0.21645179026525962
Growth 3yr Historic,0.2969487514789215
Price/Earnings (TTM),10.3169
Price/Sales (TTM),1.17497
Price/Book (MRQ),0.8472
Price/Cash Flow (TTM),7.562
5yr Low,11.2
5yr High,44.47
5yr Avg Return,0.09363333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.18357769999999998
Dividend Growth 5yr,-0.003096
Short Int Current Month,4220720.0
Short Int Prev Month,5395739.0
Short Int Pct of Float,0.0251658
Days to Cover,3.13292
Float,167.4214
Shares Outstanding,228.9901
Institutions Holding Shares,547.0
FCF Growth 5yr,-7.041643041554408
"Price/Earnings (TTM, GAAP)",10.32
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7625000000000001
Operating Profit Margin (TTM),0.18530000000000002
Net Profit Margin (TTM),0.13119999999999998
Annual Dividend Yield,0.0315
Dividend Change %,0.39130000000000004
"Dividend Growth Rate, 3 Years",0.3502
EPS Growth (MRQ),0.6986
EPS Growth (TTM),-0.3861
Revenue Growth (MRQ),0.1352
Revenue Growth (TTM),-0.1812
Return On Equity (TTM),0.0926
Return On Assets (TTM),0.0172
Return On Investment (TTM),0.04360000000000001
Revenue Per Employee (TTM),1336797.0
Total Debt/Total Capital (MRQ),0.7555
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),
Interest Coverage (MRQ),21.06
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2021-03-25 00:00:00
researchTeam since,2021-11-15 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-11-15 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
