,WSBC
Price/Earnings (TTM),13.49585
Price/Sales (TTM),4.17416
Price/Book (MRQ),1.06903
Price/Cash Flow (TTM),
5yr Low,17.46
5yr High,51.12
5yr Avg Return,0.00098333333333333
EPS Growth 5yr,0.10362959999999999
Revenue Growth 5yr,0.11132170000000001
Dividend Growth 5yr,0.066374
Short Int Current Month,911719.0
Short Int Prev Month,1195923.0
Short Int Pct of Float,0.015907
Days to Cover,5.87312
Float,57.38629
Shares Outstanding,59.15577
Institutions Holding Shares,271.0
% Held by Institutions,0.59358
FCF Growth 5yr,0.4076471152356187
