,WSBC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",13.5,11.43,Valuation,1.1811023622047245
Price/Sales (TTM),4.17,3.3,Valuation,1.2636363636363637
Price/Book (MRQ),1.07,1.46,Valuation,0.7328767123287672
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.41490000000000005,0.34240000000000004,Profitability,1.2117406542056075
Net Profit Margin (TTM),0.33740000000000003,0.2812,Profitability,1.1998577524893315
Annual Dividend Yield,0.0345,0.028700000000000003,Dividend,1.2020905923344947
Dividend Change %,0.0315,-0.0086,Dividend,-3.6627906976744184
"Dividend Growth Rate, 3 Years",0.050499999999999996,0.0734,Dividend,0.6880108991825612
EPS Growth (MRQ),0.266,-0.0335,Gowth rates,-7.940298507462686
EPS Growth (TTM),-0.1292,-0.09960000000000001,Gowth rates,1.2971887550200802
Revenue Growth (MRQ),0.1323,0.5429,Gowth rates,0.24369128752993183
Revenue Growth (TTM),-0.0406,0.2466,Gowth rates,-0.1646390916463909
Return On Equity (TTM),0.0762,0.1135,Effectiveness,0.6713656387665199
Return On Assets (TTM),0.0116,0.0099,Effectiveness,1.1717171717171715
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.003,0.0009,Financial strength,3.3333333333333335
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
