,WSBC
% Below High,0.0319
% Held by Institutions,0.5936
52-Wk Range,['29.50 - 41.37']
Annual Dividend $,1.4
Annual Dividend %,0.0345
Ask,40.44
Ask Size,900.0
B/A Ratio,0.1111111111111111
B/A Size,100x900
Beta,0.9
Bid,39.77
Bid Size,100.0
Closing Price,40.05
Day Change $,-0.53
Day Change %,-0.0131
Day High,40.39
Day Low,39.87
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",3.01
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.25
Last (size),3.0
Last (time),3:59p ET 11/28/22
Market Cap,2.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.5
Prev Close,40.58
Short Interest,0.0159
Today's Open,40.24
Volume,113921.0
Volume 10-day Avg,136167.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.09063444108761343
Growth 1yr High Est,-0.1331444759206798
Growth 1yr Consensus Est,-0.11188945850414661
Growth 2yr Low Est,-0.01375575874978674
Growth 2yr High Est,0.02656501694162089
Growth 2yr Consensus Est,0.006404629095917075
Growth 5yr Low Est,0.02363059520137778
Growth 5yr High Est,0.06142440036270233
Growth 5yr Consensus Est,0.042527497782040055
Growth 5yr Actual/Est,0.1146229047574647
Growth 3yr Historic,0.12300966485885131
Price/Earnings (TTM),13.49585
Price/Sales (TTM),4.17416
Price/Book (MRQ),1.06903
Price/Cash Flow (TTM),
5yr Low,17.46
5yr High,51.12
5yr Avg Return,0.00098333333333333
EPS Growth 5yr,0.10362959999999999
Revenue Growth 5yr,0.11132170000000001
Dividend Growth 5yr,0.066374
Short Int Current Month,911719.0
Short Int Prev Month,1195923.0
Short Int Pct of Float,0.015907
Days to Cover,5.87312
Float,57.38629
Shares Outstanding,59.15577
Institutions Holding Shares,271.0
FCF Growth 5yr,0.4076471152356187
"Price/Earnings (TTM, GAAP)",13.5
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.41490000000000005
Net Profit Margin (TTM),0.33740000000000003
Annual Dividend Yield,0.0345
Dividend Change %,0.0315
"Dividend Growth Rate, 3 Years",0.050499999999999996
EPS Growth (MRQ),0.266
EPS Growth (TTM),-0.1292
Revenue Growth (MRQ),0.1323
Revenue Growth (TTM),-0.0406
Return On Equity (TTM),0.0762
Return On Assets (TTM),0.0116
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.003
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-10-28 00:00:00
theStreet since,2020-11-10 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
