,WETF
% Above Low,0.1217
% Held by Institutions,0.7479
52-Wk Range,['4.60 - 6.65']
Annual Dividend $,0.12
Annual Dividend %,0.023
Ask,5.24
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,2.05
Bid Size,200.0
Closing Price,5.16
Day Change $,-0.06
Day Change %,-0.0115
Day High,5.2
Day Low,5.1
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",0.5
Ex-dividend,2022-11-08 00:00:00
Ex-dividend Date,11/08/22
Historical Volatility,0.327
Last (size),100.0
Last (time),7:00p ET 11/28/22
Market Cap,753.8M
"P/E Ratio (TTM, GAAP)",10.41
Prev Close,5.22
Short Interest,0.08039999999999999
Today's Open,5.2
Volume,661207.0
Volume 10-day Avg,1047656.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-27 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.3055555555555556
Growth 1yr High Est,-0.26315789473684204
Growth 1yr Consensus Est,-0.2843567251461988
Growth 2yr Low Est,-0.25277777777777777
Growth 2yr High Est,-0.13157894736842102
Growth 2yr Consensus Est,-0.1921783625730994
Growth 5yr Low Est,0.052182539682539664
Growth 5yr High Est,0.11602870813397131
Growth 5yr Consensus Est,0.08410562390825549
Growth 5yr Actual/Est,0.11773095325726904
Growth 3yr Historic,0.2159090909090909
Price/Earnings (TTM),10.40608
Price/Sales (TTM),2.48959
Price/Book (MRQ),2.30102
Price/Cash Flow (TTM),8.46394
5yr Low,1.87
5yr High,13.41
5yr Avg Return,-0.09839999999999999
EPS Growth 5yr,0.0730736
Revenue Growth 5yr,0.0680915
Dividend Growth 5yr,-0.1781241
Short Int Current Month,8834304.0
Short Int Prev Month,7471960.0
Short Int Pct of Float,0.08039740000000001
Days to Cover,7.64548
Float,109.9422
Shares Outstanding,146.5185
Institutions Holding Shares,206.0
FCF Growth 5yr,-0.3088926007357908
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-10-31 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-02-25 00:00:00
cfra since,
marketEdge opinion since,
