,DECK
% Below High,0.10210000000000001
% Held by Institutions,1.0066
52-Wk Range,['212.93 - 424.51']
Annual Dividend $,
Annual Dividend %,
Ask,397.0
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,0.9
Bid,327.0
Bid Size,500.0
Closing Price,381.18
Day Change $,2.4
Day Change %,0.0063
Day High,381.89
Day Low,376.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",16.4
Ex-dividend Date,No dividend
Historical Volatility,0.499
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,10.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.25
Prev Close,378.78
Short Interest,0.030899999999999997
Today's Open,377.73
Volume,107607.0
Volume 10-day Avg,502689.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.37254901960784315
Growth 1yr High Est,0.4132539091586003
Growth 1yr Consensus Est,0.3929014643832217
Growth 2yr Low Est,0.24084593837535018
Growth 2yr High Est,0.33412958893124955
Growth 2yr Consensus Est,0.28748776365329987
Growth 5yr Low Est,0.2289719005712521
Growth 5yr High Est,0.2704858470972037
Growth 5yr Consensus Est,0.2497288738342279
Growth 5yr Actual/Est,0.22748923205328392
Growth 3yr Historic,0.15183371224573905
Price/Earnings (TTM),23.24608
Price/Sales (TTM),2.95521
Price/Book (MRQ),6.65904
Price/Cash Flow (TTM),20.41816
5yr Low,71.52
5yr High,451.49
5yr Avg Return,0.3428833333333333
EPS Growth 5yr,1.471179
Revenue Growth 5yr,0.1196795
Dividend Growth 5yr,
Short Int Current Month,803338.0
Short Int Prev Month,750911.0
Short Int Pct of Float,0.030935100000000004
Days to Cover,1.52245
Float,26.07534
Shares Outstanding,26.4668
Institutions Holding Shares,614.0
FCF Growth 5yr,1.206546904873665
"Price/Earnings (TTM, GAAP)",23.25
"PEG Ratio (TTM, GAAP)",1.37
Gross Profit Margin (TTM),0.49700000000000005
Operating Profit Margin (TTM),0.1637
Net Profit Margin (TTM),0.1313
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.2863
EPS Growth (TTM),0.055
Revenue Growth (MRQ),0.425
Revenue Growth (TTM),0.1913
Return On Equity (TTM),0.3008
Return On Assets (TTM),0.1838
Return On Investment (TTM),0.2586
Revenue Per Employee (TTM),853459.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.36
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-12-03 00:00:00
cfra since,2022-10-28 00:00:00
ford since,2021-12-03 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-08-15 00:00:00
