,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,78.07,81.05,96.22,104.97,91.49,105.6,,,,,
low,72.94,62.71,72.26,65.14,74.8,80.3,,,,,
change,-0.043899999999999995,0.0213,0.26670000000000005,-0.11880000000000002,0.0677,0.0772,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,403.0,676.0,575.0,522.0,Balance Sheet
Short Term Investments,,,,,,,220.0,209.0,192.0,202.0,Balance Sheet
Cash and Short Term Invs,,,,,,,624.0,884.0,767.0,724.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,1759.0,1733.0,2086.0,2098.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-56.0,-54.0,-53.0,-53.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,1703.0,1679.0,2033.0,2044.0,Balance Sheet
Other Receivables,,,,,,,155.0,119.0,155.0,236.0,Balance Sheet
"Total Receivables, Net",,,,,,,1859.0,1798.0,2188.0,2280.0,Balance Sheet
Invent. - Raw Materials,,,,,,,681.0,696.0,749.0,802.0,Balance Sheet
Fuel - Inventory,,,,,,,308.0,270.0,354.0,332.0,Balance Sheet
Total Inventory,,,,,,,989.0,967.0,1102.0,1134.0,Balance Sheet
Prepaid Expenses,,,,,,,130.0,239.0,285.0,317.0,Balance Sheet
Restricted Cash - Current,,,,,,,241.0,50.0,46.0,55.0,Balance Sheet
Unbilled Utility Revenues,,,,,,,204.0,206.0,259.0,272.0,Balance Sheet
Discont. Ops.-Curr. Assets,,,,,,,2920.0,2973.0,2946.0,2831.0,Balance Sheet
Other Current Assets,,,,,,,842.0,1151.0,1778.0,1707.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,4208.0,4380.0,5029.0,4865.0,Balance Sheet
Total Current Assets,,,,,,,7809.0,8268.0,9371.0,9320.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,578.0,646.0,631.0,620.0,Balance Sheet
"Goodwill, Net",,,,,,,53.0,53.0,53.0,53.0,Balance Sheet
Utility Plant,,,,,,,86806.0,89175.0,90471.0,92105.0,Balance Sheet
Utlty. Plnt. Accum. Deprc.,,,,,,,-20805.0,-21297.0,-21763.0,-22292.0,Balance Sheet
