,AEP
% Below High,0.0959
% Held by Institutions,0.7293000000000001
52-Wk Range,['80.22 - 105.60']
Annual Dividend $,3.32
Annual Dividend %,0.0348
Ask,95.85
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.4
Bid,95.09
Bid Size,200.0
Closing Price,95.47
Day Change $,0.34
Day Change %,0.0036
Day High,95.81
Day Low,94.95
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",4.82
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.233
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,49.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",19.8
Prev Close,95.13
Short Interest,0.0129
Today's Open,95.35
Volume,1252039.0
Volume 10-day Avg,3386902.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.0675381263616559
Growth 1yr High Est,0.06540084388185652
Growth 1yr Consensus Est,0.06646948512175621
Growth 2yr Low Est,0.0664221244053177
Growth 2yr High Est,0.06339349124785898
Growth 2yr Consensus Est,0.06490780782658834
Growth 5yr Low Est,0.057248560811760885
Growth 5yr High Est,0.05748944607416423
Growth 5yr Consensus Est,0.05736900344296256
Growth 5yr Actual/Est,0.05739590893542601
Growth 3yr Historic,0.02868434472208059
Price/Earnings (TTM),19.79802
Price/Sales (TTM),2.60675
Price/Book (MRQ),2.01424
Price/Cash Flow (TTM),8.57263
5yr Low,62.71
5yr High,105.6
5yr Avg Return,0.04503333333333334
EPS Growth 5yr,0.3178151
Revenue Growth 5yr,0.0049794
Dividend Growth 5yr,0.0573508
Short Int Current Month,6611705.0
Short Int Prev Month,5668267.0
Short Int Pct of Float,0.012870999999999999
Days to Cover,1.83912
Float,513.7026
Shares Outstanding,513.8637
Institutions Holding Shares,1651.0
FCF Growth 5yr,-0.0709487327219885
"Price/Earnings (TTM, GAAP)",19.8
"PEG Ratio (TTM, GAAP)",3.21
Gross Profit Margin (TTM),0.4328
Operating Profit Margin (TTM),0.1916
Net Profit Margin (TTM),0.1373
Annual Dividend Yield,0.0348
Dividend Change %,0.0563
"Dividend Growth Rate, 3 Years",0.0584
EPS Growth (MRQ),0.2992
EPS Growth (TTM),0.0326
Revenue Growth (MRQ),0.19100000000000003
Revenue Growth (TTM),0.1517
Return On Equity (TTM),0.1054
Return On Assets (TTM),0.0291
Return On Investment (TTM),0.0333
Revenue Per Employee (TTM),1127745.0
Total Debt/Total Capital (MRQ),0.6056
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),0.69
Interest Coverage (MRQ),3.43
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-07-16 00:00:00
cfra since,2019-01-24 00:00:00
ford since,2022-11-25 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-07-22 00:00:00
