,ABMD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",64.98,61.36,Valuation,1.0589960886571057
Price/Sales (TTM),15.87,9.8,Valuation,1.6193877551020406
Price/Book (MRQ),11.09,10.31,Valuation,1.075654704170708
"PEG Ratio (TTM, GAAP)",3.54,3.02,Valuation,1.1721854304635762
Gross Profit Margin (TTM),0.8131999999999999,0.6196,Profitability,1.312459651387992
Operating Profit Margin (TTM),0.2361,0.047,Profitability,5.023404255319149
Net Profit Margin (TTM),0.2484,0.009300000000000001,Profitability,26.709677419354836
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),0.9545,-0.4858,Gowth rates,-1.9648003293536436
EPS Growth (TTM),0.789,-0.2029,Gowth rates,-3.888615081320848
Revenue Growth (MRQ),-0.0405,0.1161,Gowth rates,-0.3488372093023256
Revenue Growth (TTM),0.1032,0.18300000000000002,Gowth rates,0.5639344262295082
Return On Equity (TTM),0.18239999999999998,0.1068,Effectiveness,1.7078651685393256
Return On Assets (TTM),0.1654,0.0622,Effectiveness,2.6591639871382635
Return On Investment (TTM),0.1791,0.0732,Effectiveness,2.44672131147541
Revenue Per Employee (TTM),536244.0,403586.0,Effectiveness,1.3286982204536333
Total Debt/Total Capital (MRQ),0.0,0.3161,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0125,Financial strength,
Quick Ratio (MRQ),7.17,2.25,Financial strength,3.1866666666666665
Interest Coverage (MRQ),,14.99,Financial strength,
