,ABMD
% Below High,0.0102
% Held by Institutions,0.9523999999999999
52-Wk Range,['219.85 - 381.99']
Annual Dividend $,
Annual Dividend %,
Ask,378.37
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,377.12
Bid Size,100.0
Closing Price,378.08
Day Change $,0.3
Day Change %,0.0008
Day High,378.29
Day Low,377.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.82
Ex-dividend Date,No dividend
Historical Volatility,0.613
Last (size),6.0
Last (time),1:00p ET 11/25/22
Market Cap,17.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",64.98
Prev Close,377.78
Short Interest,0.0151
Today's Open,377.36
Volume,258929.0
Volume 10-day Avg,1689422.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.08391608391608385
Growth 1yr High Est,0.11622807017543857
Growth 1yr Consensus Est,0.01615599312967736
Growth 2yr Low Est,0.08654068577732704
Growth 2yr High Est,0.17402759107986077
Growth 2yr Consensus Est,0.1302841384285939
Growth 5yr Low Est,0.05596546421162474
Growth 5yr High Est,0.07675078810711167
Growth 5yr Consensus Est,0.0663581261593682
Growth 5yr Actual/Est,0.06429287818334734
Growth 3yr Historic,0.0034773946500215036
Price/Earnings (TTM),64.98051
Price/Sales (TTM),15.87202
Price/Book (MRQ),11.09155
Price/Cash Flow (TTM),57.92282
5yr Low,119.01
5yr High,459.75
5yr Avg Return,0.20778333333333332
EPS Growth 5yr,0.2058383
Revenue Growth 5yr,0.1829975
Dividend Growth 5yr,
Short Int Current Month,667395.0
Short Int Prev Month,2082860.0
Short Int Pct of Float,0.015102299999999999
Days to Cover,0.22922
Float,44.17833
Shares Outstanding,45.09118
Institutions Holding Shares,780.0
FCF Growth 5yr,-0.09386391443901898
"Price/Earnings (TTM, GAAP)",64.98
"PEG Ratio (TTM, GAAP)",3.54
Gross Profit Margin (TTM),0.8131999999999999
Operating Profit Margin (TTM),0.2361
Net Profit Margin (TTM),0.2484
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.9545
EPS Growth (TTM),0.789
Revenue Growth (MRQ),-0.0405
Revenue Growth (TTM),0.1032
Return On Equity (TTM),0.18239999999999998
Return On Assets (TTM),0.1654
Return On Investment (TTM),0.1791
Revenue Per Employee (TTM),536244.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),7.17
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2021-06-14 00:00:00
cfra since,2020-10-30 00:00:00
ford since,2021-04-09 00:00:00
marketEdge opinion since,
marketEdge since,2021-08-05 00:00:00
