,CHCO
% Below High,0.023700000000000002
% Held by Institutions,0.6657
52-Wk Range,['73.40 - 103.00']
Annual Dividend $,2.6
Annual Dividend %,0.0259
Ask,106.18
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.5
Bid,40.29
Bid Size,200.0
Closing Price,100.56
Day Change $,1.31
Day Change %,0.0132
Day High,101.15
Day Low,99.71
Dividend Pay Date,2023-01-31 00:00:00
"EPS (TTM, GAAP)",6.31
Ex-dividend,2023-01-12 00:00:00
Ex-dividend Date,01/12/23
Historical Volatility,0.21
Last (size),7.0
Last (time),1:00p ET 11/25/22
Market Cap,1.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.94
Prev Close,99.25
Short Interest,0.0729
Today's Open,99.71
Volume,25535.0
Volume 10-day Avg,65392.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.22846441947565532
Growth 1yr High Est,0.19928186714542173
Growth 1yr Consensus Est,0.21387314331053853
Growth 2yr Low Est,0.13252489266465695
Growth 2yr High Est,0.14979063417151328
Growth 2yr Consensus Est,0.1411577634180851
Growth 5yr Low Est,0.06626244633232847
Growth 5yr High Est,0.08181413627394851
Growth 5yr Consensus Est,0.07403829130313849
Growth 5yr Actual/Est,0.07223626699976438
Growth 3yr Historic,0.010951264918054593
Price/Earnings (TTM),15.94191
Price/Sales (TTM),6.23024
Price/Book (MRQ),2.72465
Price/Cash Flow (TTM),14.89647
5yr Low,53.06
5yr High,103.0
5yr Avg Return,0.07381666666666666
EPS Growth 5yr,0.1039252
Revenue Growth 5yr,0.04599
Dividend Growth 5yr,0.0629146
Short Int Current Month,1025578.0
Short Int Prev Month,955954.0
Short Int Pct of Float,0.0728767
Days to Cover,14.78758
Float,14.23837
Shares Outstanding,14.85573
Institutions Holding Shares,241.0
FCF Growth 5yr,0.2261600973171304
"Price/Earnings (TTM, GAAP)",15.94
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.49820000000000003
Net Profit Margin (TTM),0.39530000000000004
Annual Dividend Yield,0.0259
Dividend Change %,0.0175
"Dividend Growth Rate, 3 Years",0.067
EPS Growth (MRQ),0.1997
EPS Growth (TTM),0.1333
Revenue Growth (MRQ),0.1887
Revenue Growth (TTM),0.0609
Return On Equity (TTM),0.1532
Return On Assets (TTM),0.0159
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-06-10 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-08-19 00:00:00
