,CHCO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",15.94,11.43,Valuation,1.394575678040245
Price/Sales (TTM),6.23,3.3,Valuation,1.8878787878787882
Price/Book (MRQ),2.72,1.46,Valuation,1.863013698630137
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.49820000000000003,0.34240000000000004,Profitability,1.4550233644859814
Net Profit Margin (TTM),0.39530000000000004,0.2812,Profitability,1.4057610241820768
Annual Dividend Yield,0.0259,0.028700000000000003,Dividend,0.9024390243902438
Dividend Change %,0.0175,-0.0086,Dividend,-2.0348837209302326
"Dividend Growth Rate, 3 Years",0.067,0.0734,Dividend,0.9128065395095367
EPS Growth (MRQ),0.1997,-0.0335,Gowth rates,-5.961194029850746
EPS Growth (TTM),0.1333,-0.09960000000000001,Gowth rates,-1.3383534136546185
Revenue Growth (MRQ),0.1887,0.5429,Gowth rates,0.3475778228034629
Revenue Growth (TTM),0.0609,0.2466,Gowth rates,0.24695863746958638
Return On Equity (TTM),0.1532,0.1135,Effectiveness,1.3497797356828194
Return On Assets (TTM),0.0159,0.0099,Effectiveness,1.606060606060606
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0003,0.0009,Financial strength,0.3333333333333333
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
