,EXPO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",53.95,75.74,Valuation,0.7123052548191181
Price/Sales (TTM),10.4,5.07,Valuation,2.051282051282051
Price/Book (MRQ),16.29,7.18,Valuation,2.268802228412256
"PEG Ratio (TTM, GAAP)",,3.68,Valuation,
Gross Profit Margin (TTM),0.9120999999999999,0.49210000000000004,Profitability,1.8534850640113796
Operating Profit Margin (TTM),0.2847,0.10619999999999999,Profitability,2.680790960451978
Net Profit Margin (TTM),0.2006,0.055,Profitability,3.6472727272727274
Annual Dividend Yield,0.0094,0.0074,Dividend,1.2702702702702702
Dividend Change %,0.0526,0.051100000000000007,Dividend,1.029354207436399
"Dividend Growth Rate, 3 Years",0.1544,0.0489,Dividend,3.1574642126789367
EPS Growth (MRQ),-0.043899999999999995,-18.5673,Gowth rates,0.0023643717718785174
EPS Growth (TTM),-0.012700000000000001,-0.2057,Gowth rates,0.061740398638794367
Revenue Growth (MRQ),-0.023799999999999998,0.10880000000000001,Gowth rates,-0.21874999999999997
Revenue Growth (TTM),0.0953,0.11970000000000001,Gowth rates,0.796157059314954
Return On Equity (TTM),0.27649999999999997,0.1999,Effectiveness,1.3831915957978989
Return On Assets (TTM),0.1674,0.0565,Effectiveness,2.9628318584070796
Return On Investment (TTM),0.21480000000000002,0.0848,Effectiveness,2.5330188679245285
Revenue Per Employee (TTM),411065.0,417216.0,Effectiveness,0.985257037122258
Total Debt/Total Capital (MRQ),0.0,0.4147,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0070999999999999995,Financial strength,
Quick Ratio (MRQ),,0.09,Financial strength,
Interest Coverage (MRQ),,18.36,Financial strength,
