,EXPO
% Above Low,0.267
% Held by Institutions,0.9031999999999999
52-Wk Range,['80.97 - 126.31']
Annual Dividend $,0.96
Annual Dividend %,0.009399999999999999
Ask,103.03
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.6
Bid,102.15
Bid Size,100.0
Closing Price,102.59
Day Change $,1.33
Day Change %,0.0131
Day High,102.96
Day Low,101.17
Dividend Pay Date,2022-12-23 00:00:00
"EPS (TTM, GAAP)",1.9
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.313
Last (size),24.0
Last (time),1:00p ET 11/25/22
Market Cap,5.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",53.95
Prev Close,101.26
Short Interest,0.0252
Today's Open,101.69
Volume,68050.0
Volume 10-day Avg,123761.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.026737967914438387
Growth 1yr High Est,0.02127659574468077
Growth 1yr Consensus Est,0.02400728182955958
Growth 2yr Low Est,0.044618983957219194
Growth 2yr High Est,0.049700797872340385
Growth 2yr Consensus Est,0.04715989091477979
Growth 5yr Low Est,0.08606788124035458
Growth 5yr High Est,0.08610867708186554
Growth 5yr Consensus Est,0.08608827916111006
Growth 5yr Actual/Est,0.08058033237347001
Growth 3yr Historic,0.059719586759434895
Price/Earnings (TTM),53.94931
Price/Sales (TTM),10.40152
Price/Book (MRQ),16.29282
Price/Cash Flow (TTM),48.57206
5yr Low,34.9
5yr High,127.61
5yr Avg Return,0.20248333333333332
EPS Growth 5yr,0.1677517
Revenue Growth 5yr,0.08154410000000001
Dividend Growth 5yr,0.1731607
Short Int Current Month,1259934.0
Short Int Prev Month,1493995.0
Short Int Pct of Float,0.025219900000000003
Days to Cover,8.34609
Float,50.00341
Shares Outstanding,50.63823
Institutions Holding Shares,454.0
FCF Growth 5yr,-0.8698289710930008
"Price/Earnings (TTM, GAAP)",53.95
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9120999999999999
Operating Profit Margin (TTM),0.2847
Net Profit Margin (TTM),0.2006
Annual Dividend Yield,0.0094
Dividend Change %,0.0526
"Dividend Growth Rate, 3 Years",0.1544
EPS Growth (MRQ),-0.043899999999999995
EPS Growth (TTM),-0.012700000000000001
Revenue Growth (MRQ),-0.023799999999999998
Revenue Growth (TTM),0.0953
Return On Equity (TTM),0.27649999999999997
Return On Assets (TTM),0.1674
Return On Investment (TTM),0.21480000000000002
Revenue Per Employee (TTM),411065.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2009-07-19 00:00:00
researchTeam since,2022-11-04 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
