,KWR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",44.12,20.13,Valuation,2.1917536015896673
Price/Sales (TTM),1.81,3.27,Valuation,0.5535168195718655
Price/Book (MRQ),2.7,5.58,Valuation,0.4838709677419355
"PEG Ratio (TTM, GAAP)",6.97,0.12,Valuation,58.083333333333336
Gross Profit Margin (TTM),0.3123,0.3453,Profitability,0.9044309296264119
Operating Profit Margin (TTM),0.0687,0.0535,Profitability,1.2841121495327104
Net Profit Margin (TTM),0.0405,0.0204,Profitability,1.9852941176470587
Annual Dividend Yield,0.009000000000000001,0.0188,Dividend,0.4787234042553192
Dividend Change %,0.0323,0.102,Dividend,0.3166666666666667
"Dividend Growth Rate, 3 Years",0.0334,0.06910000000000001,Dividend,0.48335745296671484
EPS Growth (MRQ),0.8009000000000001,-0.6111,Gowth rates,-1.3105874652266407
EPS Growth (TTM),-0.4842,1.725,Gowth rates,-0.280695652173913
Revenue Growth (MRQ),-0.0003,0.212,Gowth rates,-0.0014150943396226414
Revenue Growth (TTM),0.1211,0.23420000000000002,Gowth rates,0.5170794192997438
Return On Equity (TTM),0.058499999999999996,0.2206,Effectiveness,0.26518585675430645
Return On Assets (TTM),0.0267,0.06420000000000001,Effectiveness,0.4158878504672897
Return On Investment (TTM),0.0309,0.08410000000000001,Effectiveness,0.3674197384066587
Revenue Per Employee (TTM),405493.0,817013.0,Effectiveness,0.4963115641978769
Total Debt/Total Capital (MRQ),0.4266,0.4105,Financial strength,1.0392204628501827
Change in Debt/Total Capital Quarter over Quarter,0.0011,0.001,Financial strength,1.1
Quick Ratio (MRQ),1.83,1.18,Financial strength,1.5508474576271187
Interest Coverage (MRQ),4.49,26.2,Financial strength,0.17137404580152674
