,KWR
% Below High,0.21539999999999998
% Held by Institutions,0.8184
52-Wk Range,['129.06 - 245.22']
Annual Dividend $,1.74
Annual Dividend %,0.009000000000000001
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.3
Bid,77.36
Bid Size,
Closing Price,192.39
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-31 00:00:00
"EPS (TTM, GAAP)",4.36
Ex-dividend,2023-01-13 00:00:00
Ex-dividend Date,01/13/23
Historical Volatility,0.504
Last (size),6.0
Last (time),5:00p ET 11/25/22
Market Cap,3.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",44.12
Prev Close,192.39
Short Interest,0.10310000000000001
Today's Open,
Volume,28236.0
Volume 10-day Avg,71293.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.23521126760563382
Growth 1yr High Est,-0.17222222222222228
Growth 1yr Consensus Est,-0.20371674491392805
Growth 2yr Low Est,-0.04670323969600282
Growth 2yr High Est,0.043083519761372036
Growth 2yr Consensus Est,-0.0018098599673153914
Growth 5yr Low Est,0.06416363568212827
Growth 5yr High Est,0.09856217832409889
Growth 5yr Consensus Est,0.08136290700311358
Growth 5yr Actual/Est,0.07051097943994394
Growth 3yr Historic,0.06323786933836667
Price/Earnings (TTM),44.12129
Price/Sales (TTM),1.81018
Price/Book (MRQ),2.69726
Price/Cash Flow (TTM),21.70291
5yr Low,108.14
5yr High,301.99
5yr Avg Return,0.05140000000000001
EPS Growth 5yr,0.0791275
Revenue Growth 5yr,0.18722899999999998
Dividend Growth 5yr,0.0376566
Short Int Current Month,1411048.0
Short Int Prev Month,1462422.0
Short Int Pct of Float,0.1030535
Days to Cover,15.75305
Float,13.71104
Shares Outstanding,17.93166
Institutions Holding Shares,293.0
FCF Growth 5yr,-0.007025285406751032
"Price/Earnings (TTM, GAAP)",44.12
"PEG Ratio (TTM, GAAP)",6.97
Gross Profit Margin (TTM),0.3123
Operating Profit Margin (TTM),0.0687
Net Profit Margin (TTM),0.0405
Annual Dividend Yield,0.009000000000000001
Dividend Change %,0.0323
"Dividend Growth Rate, 3 Years",0.0334
EPS Growth (MRQ),0.8009000000000001
EPS Growth (TTM),-0.4842
Revenue Growth (MRQ),-0.0003
Revenue Growth (TTM),0.1211
Return On Equity (TTM),0.058499999999999996
Return On Assets (TTM),0.0267
Return On Investment (TTM),0.0309
Revenue Per Employee (TTM),405493.0
Total Debt/Total Capital (MRQ),0.4266
Change in Debt/Total Capital Quarter over Quarter,0.0011
Quick Ratio (MRQ),1.83
Interest Coverage (MRQ),4.49
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-05-20 00:00:00
theStreet since,2022-03-03 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-05-20 00:00:00
cfra since,
marketEdge opinion since,
