,KWR
Price/Earnings (TTM),44.12129
Price/Sales (TTM),1.81018
Price/Book (MRQ),2.69726
Price/Cash Flow (TTM),21.70291
5yr Low,108.14
5yr High,301.99
5yr Avg Return,0.05140000000000001
EPS Growth 5yr,0.0791275
Revenue Growth 5yr,0.18722899999999998
Dividend Growth 5yr,0.0376566
Short Int Current Month,1411048.0
Short Int Prev Month,1462422.0
Short Int Pct of Float,0.1030535
Days to Cover,15.75305
Float,13.71104
Shares Outstanding,17.93166
Institutions Holding Shares,293.0
% Held by Institutions,0.818402
FCF Growth 5yr,-0.007025285406751032
