,JBLU
% Above Low,0.2841
% Held by Institutions,0.6724
52-Wk Range,['6.21 - 16.39']
Annual Dividend $,
Annual Dividend %,
Ask,8.0
Ask Size,1300.0
B/A Ratio,0.6153846153846154
B/A Size,800x1300
Beta,1.5
Bid,7.95
Bid Size,800.0
Closing Price,7.98
Day Change $,0.05
Day Change %,0.0063
Day High,8.03
Day Low,7.86
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.61
Ex-dividend Date,No dividend
Historical Volatility,0.538
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,2.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,7.93
Short Interest,0.0484
Today's Open,7.89
Volume,2346833.0
Volume 10-day Avg,8373931.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.6776556776556777
Growth 1yr High Est,-0.7027027027027027
Growth 1yr Consensus Est,-0.6901791901791903
Growth 2yr Low Est,-0.5547369297369298
Growth 2yr High Est,-1.8361998361998362
Growth 2yr Consensus Est,-1.195468382968383
Growth 5yr Low Est,-1.511236708111708
Growth 5yr High Est,-2.015632241389774
Growth 5yr Consensus Est,-1.763434474750741
Growth 5yr Actual/Est,-1.7579217746300158
Growth 3yr Historic,-1.1368930689399555
Price/Earnings (TTM),
Price/Sales (TTM),0.30133
Price/Book (MRQ),0.73725
Price/Cash Flow (TTM),41.68618
5yr Low,6.21
5yr High,23.08
5yr Avg Return,-0.115
EPS Growth 5yr,
Revenue Growth 5yr,-0.017197499999999998
Dividend Growth 5yr,
Short Int Current Month,15598091.0
Short Int Prev Month,15206389.0
Short Int Pct of Float,0.0484418
Days to Cover,1.46006
Float,321.9052
Shares Outstanding,323.8776
Institutions Holding Shares,442.0
FCF Growth 5yr,1.2568899800759576
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5982999999999999
Operating Profit Margin (TTM),-0.0536
Net Profit Margin (TTM),-0.06
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.3014
EPS Growth (TTM),-0.08720000000000001
Revenue Growth (MRQ),0.0479
Revenue Growth (TTM),0.7626000000000001
Return On Equity (TTM),-0.1381
Return On Assets (TTM),-0.0376
Return On Investment (TTM),-0.0517
Revenue Per Employee (TTM),555074.0
Total Debt/Total Capital (MRQ),0.5173
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),0.65
Interest Coverage (MRQ),4.61
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-05-13 00:00:00
researchTeam since,2021-05-24 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2018-07-24 00:00:00
ford since,2022-03-11 00:00:00
marketEdge opinion since,
