,JBLU,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,-34.24,Valuation,
Price/Sales (TTM),0.3,0.63,Valuation,0.47619047619047616
Price/Book (MRQ),0.74,2.71,Valuation,0.2730627306273063
"PEG Ratio (TTM, GAAP)",,-0.02,Valuation,
Gross Profit Margin (TTM),0.5982999999999999,0.5245000000000001,Profitability,1.1407054337464249
Operating Profit Margin (TTM),-0.0536,0.029500000000000002,Profitability,-1.8169491525423729
Net Profit Margin (TTM),-0.06,0.003,Profitability,-20.0
Annual Dividend Yield,,,Dividend,
Dividend Change %,,-0.2447,Dividend,
"Dividend Growth Rate, 3 Years",,,Dividend,
EPS Growth (MRQ),1.3014,0.541,Gowth rates,2.4055452865064693
EPS Growth (TTM),-0.08720000000000001,16.999000000000002,Gowth rates,-0.005129713512559563
Revenue Growth (MRQ),0.0479,0.46299999999999997,Gowth rates,0.10345572354211663
Revenue Growth (TTM),0.7626000000000001,0.8456999999999999,Gowth rates,0.9017382050372474
Return On Equity (TTM),-0.1381,-0.010900000000000002,Effectiveness,12.6697247706422
Return On Assets (TTM),-0.0376,-0.002,Effectiveness,18.8
Return On Investment (TTM),-0.0517,-0.0021,Effectiveness,24.61904761904762
Revenue Per Employee (TTM),555074.0,453436.0,Effectiveness,1.2241507070457573
Total Debt/Total Capital (MRQ),0.5173,0.6829000000000001,Financial strength,0.7575047591155366
Change in Debt/Total Capital Quarter over Quarter,-0.0004,-0.0014000000000000002,Financial strength,0.2857142857142857
Quick Ratio (MRQ),0.65,0.87,Financial strength,0.7471264367816092
Interest Coverage (MRQ),4.61,23.47,Financial strength,0.19642096293140182
