,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,28.95,32.84,24.4,,,,,
low,19.15,19.8,12.79,,,,,
change,0.3471,-0.1468,-0.3579,,,,,
Date,,,,2021-10-02 00:00:00,2022-01-01 00:00:00,2022-04-02 00:00:00,2022-07-02 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,343.0,53.0,52.0,193.0,Balance Sheet
"Trade Accts Recvble, Net",,,,39.0,39.0,34.0,47.0,Balance Sheet
Other Receivables,,,,,,11.0,,Balance Sheet
"Total Receivables, Net",,,,39.0,39.0,44.0,47.0,Balance Sheet
Invent. - Finished Goods,,,,195.0,240.0,335.0,351.0,Balance Sheet
Invent. - Raw Materials,,,,4.0,5.0,10.0,10.0,Balance Sheet
Total Inventory,,,,199.0,245.0,345.0,361.0,Balance Sheet
Prepaid Expenses,,,,13.0,30.0,21.0,20.0,Balance Sheet
"Other Curr. Assets, Total",,,,8.0,8.0,9.0,11.0,Balance Sheet
Total Current Assets,,,,602.0,375.0,472.0,632.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,283.0,273.0,279.0,293.0,Balance Sheet
"Goodwill, Net",,,,93.0,101.0,118.0,125.0,Balance Sheet
Intangibles - Gross,,,,66.0,63.0,60.0,62.0,Balance Sheet
Accum. Intangible Amort.,,,,-30.0,-31.0,-31.0,-32.0,Balance Sheet
Intangibles - Net,,,,36.0,31.0,29.0,30.0,Balance Sheet
Other Long Term Assets,,,,25.0,28.0,30.0,34.0,Balance Sheet
Total Assets,,,,1042.0,811.0,930.0,1117.0,Balance Sheet
Accounts Payable,,,,101.0,100.0,161.0,219.0,Balance Sheet
Accrued Expenses,,,,147.0,112.0,133.0,142.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,8.0,8.0,8.0,8.0,Balance Sheet
Customer Advances,,,,20.0,17.0,17.0,15.0,Balance Sheet
Income Taxes Payable,,,,7.0,0.0,0.0,31.0,Balance Sheet
Other Current Liabilities,,,,27.0,18.0,20.0,18.0,Balance Sheet
"Other Curr. Lblts, Total",,,,54.0,35.0,36.0,64.0,Balance Sheet
Total Current Liabilities,,,,310.0,254.0,338.0,433.0,Balance Sheet
Total Long Term Debt,,,,160.0,785.0,828.0,781.0,Balance Sheet
Total Debt,,,,168.0,793.0,836.0,789.0,Balance Sheet
"Other Liabilities, Total",,,,790.0,154.0,150.0,162.0,Balance Sheet
Total Liabilities,,,,1260.0,1193.0,1316.0,1376.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-218.0,-381.0,-386.0,-259.0,Balance Sheet
Total Equity,,,,-218.0,-381.0,-386.0,-259.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,1042.0,811.0,930.0,1117.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,190.0,182.0,183.0,183.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-10-02 00:00:00,2022-01-01 00:00:00,2022-04-02 00:00:00,2022-07-02 00:00:00,Income Statement
Total Revenue,,,,409.0,185.0,228.0,674.0,Income Statement
"Cost of Revenue, Total",,,,221.0,118.0,142.0,370.0,Income Statement
Selling/Gen/Admin Expense,,,,115.0,77.0,87.0,129.0,Income Statement
Labor & Related Expense,,,,,3.0,3.0,3.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,115.0,80.0,90.0,131.0,Income Statement
Unusual Expense (Income),,,,6.0,0.0,0.0,0.0,Income Statement
Total Operating Expense,,,,342.0,197.0,232.0,501.0,Income Statement
Total Operating Income,,,,67.0,-12.0,-4.0,172.0,Income Statement
"Inter Expse,Net Non-Operat",,,,-7.0,-7.0,-7.0,-7.0,Income Statement
OtherNon-OperatInc (Expnse),,,,0.0,0.0,0.0,0.0,Income Statement
"Other, Net",,,,0.0,0.0,0.0,0.0,Income Statement
Income Before Tax,,,,59.0,-20.0,-11.0,165.0,Income Statement
Income Tax - Total,,,,15.0,-5.0,-4.0,42.0,Income Statement
Income After Tax,,,,45.0,-14.0,-7.0,123.0,Income Statement
Net Inc Before Extra Items,,,,45.0,-14.0,-7.0,123.0,Income Statement
Total Net Income,,,,45.0,-14.0,-7.0,123.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,45.0,-14.0,-7.0,123.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,45.0,-14.0,-7.0,123.0,Income Statement
Basic/Primary Weighted Average Shares,,,,190.0,189.0,183.0,183.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,0.23,-0.08,-0.04,0.67,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,0.23,-0.08,-0.04,0.67,Income Statement
Diluted Weighted Average Shares,,,,191.0,189.0,183.0,185.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,0.23,-0.08,-0.04,0.67,Income Statement
Diluted EPS Incl. Extra. Items,,,,0.23,-0.08,-0.04,0.67,Income Statement
