,LESL
% Above Low,0.1923
% Held by Institutions,1.2086
52-Wk Range,['12.79 - 24.40']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,
Bid Size,
Closing Price,15.25
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.78
Ex-dividend Date,No dividend
Historical Volatility,0.513
Last (size),5600.0
Last (time),1:00p ET 11/25/22
Market Cap,2.8B
"P/E Ratio (TTM, GAAP)",19.52
Prev Close,15.25
Short Interest,0.198
Today's Open,
Volume,905977.0
Volume 10-day Avg,2643578.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-11-30 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.10975609756097571
Growth 1yr High Est,0.10344827586206895
Growth 1yr Consensus Est,0.10660218671152233
Growth 2yr Low Est,0.027405521307960368
Growth 2yr High Est,0.12464080459770122
Growth 2yr Consensus Est,0.07602316295283079
Growth 5yr Low Est,0.027405521307960368
Growth 5yr High Est,0.12464080459770122
Growth 5yr Consensus Est,0.07602316295283079
Growth 5yr Actual/Est,0.3941477666335351
Growth 3yr Historic,0.3412698412698412
Price/Earnings (TTM),19.51825
Price/Sales (TTM),1.86644
Price/Book (MRQ),
Price/Cash Flow (TTM),15.57887
5yr Low,12.79
5yr High,32.84
5yr Avg Return,-0.05253333333333333
Short Int Current Month,31180273.0
Short Int Prev Month,31476199.0
Short Int Pct of Float,0.1979991
Days to Cover,9.63478
Float,175.873
Shares Outstanding,183.0277
Institutions Holding Shares,309.0
FCF Growth 5yr,-1.0289828248879653
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",19.52
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4311
Operating Profit Margin (TTM),0.149
Net Profit Margin (TTM),0.0974
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),17.346400000000003
EPS Growth (TTM),0.237
Revenue Growth (MRQ),1.9536000000000002
Revenue Growth (TTM),0.13699999999999998
Return On Equity (TTM),
Return On Assets (TTM),0.1377
Return On Investment (TTM),0.2194
Revenue Per Employee (TTM),404177.0
Total Debt/Total Capital (MRQ),1.4876
Change in Debt/Total Capital Quarter over Quarter,-0.0011
Quick Ratio (MRQ),0.63
Interest Coverage (MRQ),25.12
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-10 00:00:00
theStreet since,2022-11-10 00:00:00
ford since,2020-12-31 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
