,MMSI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",66.94,61.36,Valuation,1.0909387222946545
Price/Sales (TTM),3.59,9.8,Valuation,0.36632653061224485
Price/Book (MRQ),3.75,10.31,Valuation,0.36372453928225024
"PEG Ratio (TTM, GAAP)",6.09,3.02,Valuation,2.0165562913907285
Gross Profit Margin (TTM),0.45189999999999997,0.6196,Profitability,0.7293415106520335
Operating Profit Margin (TTM),0.0696,0.047,Profitability,1.4808510638297872
Net Profit Margin (TTM),0.0543,0.009300000000000001,Profitability,5.838709677419354
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),-0.0015,-0.4858,Gowth rates,0.003087690407575134
EPS Growth (TTM),0.40520000000000006,-0.2029,Gowth rates,-1.9970428782651555
Revenue Growth (MRQ),-0.026400000000000003,0.1161,Gowth rates,-0.227390180878553
Revenue Growth (TTM),0.0776,0.18300000000000002,Gowth rates,0.4240437158469945
Return On Equity (TTM),0.0587,0.1068,Effectiveness,0.549625468164794
Return On Assets (TTM),0.037700000000000004,0.0622,Effectiveness,0.6061093247588425
Return On Investment (TTM),0.0433,0.0732,Effectiveness,0.5915300546448087
Revenue Per Employee (TTM),176242.0,403586.0,Effectiveness,0.4366900734911518
Total Debt/Total Capital (MRQ),0.166,0.3161,Financial strength,0.5251502689022461
Change in Debt/Total Capital Quarter over Quarter,-0.0022,0.0125,Financial strength,-0.176
Quick Ratio (MRQ),1.19,2.25,Financial strength,0.5288888888888889
Interest Coverage (MRQ),10.88,14.99,Financial strength,0.7258172114743162
