,MMSI
% Below High,0.0108
% Held by Institutions,0.9659
52-Wk Range,['50.46 - 72.53']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.0
Bid,
Bid Size,
Closing Price,71.75
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.07
Ex-dividend Date,No dividend
Historical Volatility,0.359
Last (size),27.0
Last (time),1:00p ET 11/25/22
Market Cap,4.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",66.94
Prev Close,71.75
Short Interest,0.015
Today's Open,
Volume,72500.0
Volume 10-day Avg,236066.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.8285714285714287
Growth 1yr High Est,0.7986111111111112
Growth 1yr Consensus Est,0.81359126984127
Growth 2yr Low Est,0.45530133928571437
Growth 2yr High Est,0.46301211926211927
Growth 2yr Consensus Est,0.4591567292739168
Growth 5yr Low Est,0.22765066964285718
Growth 5yr High Est,0.23150605963105964
Growth 5yr Consensus Est,0.2295783646369584
Growth 5yr Actual/Est,0.1880018606019792
Growth 3yr Historic,0.1416251556662516
Price/Earnings (TTM),66.93971
Price/Sales (TTM),3.59486
Price/Book (MRQ),3.75065
Price/Cash Flow (TTM),28.37409
5yr Low,19.5
5yr High,73.85
5yr Avg Return,0.1474666666666667
EPS Growth 5yr,0.1349879
Revenue Growth 5yr,0.12221869999999999
Dividend Growth 5yr,
Short Int Current Month,834727.0
Short Int Prev Month,1186318.0
Short Int Pct of Float,0.0150089
Days to Cover,2.62661
Float,55.61848
Shares Outstanding,56.9194
Institutions Holding Shares,346.0
FCF Growth 5yr,4.100225352243179
"Price/Earnings (TTM, GAAP)",66.94
"PEG Ratio (TTM, GAAP)",6.09
Gross Profit Margin (TTM),0.45189999999999997
Operating Profit Margin (TTM),0.0696
Net Profit Margin (TTM),0.0543
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0015
EPS Growth (TTM),0.40520000000000006
Revenue Growth (MRQ),-0.026400000000000003
Revenue Growth (TTM),0.0776
Return On Equity (TTM),0.0587
Return On Assets (TTM),0.037700000000000004
Return On Investment (TTM),0.0433
Revenue Per Employee (TTM),176242.0
Total Debt/Total Capital (MRQ),0.166
Change in Debt/Total Capital Quarter over Quarter,-0.0022
Quick Ratio (MRQ),1.19
Interest Coverage (MRQ),10.88
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-07-23 00:00:00
theStreet since,2022-09-19 00:00:00
ford since,2021-04-16 00:00:00
cfra since,
marketEdge opinion since,
